item,owner,evidence,timestamp,verifier,verification_status,gate_impact,priority,jira
TEAM01 Functional & Domain Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-104
TEAM02 SaaS & Platform Solution Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-105
TEAM03 Data & Database Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-106
TEAM04 Integration API Event Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-107
TEAM05 Security IAM Approval Audit Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-108
TEAM06 Reporting & Analytics Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-109
TEAM07 Localization & Compliance Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-110
TEAM08 Migration & Canonical Mapping Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-111
TEAM09 NFR Reliability Operability Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-112
TEAM10 AI Capability & Automation Design,UNASSIGNED,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 design-start blocked until named accountable lead and review-cycle reviewer are evidenced,Critical,ERPPLUS-113
TEAM11 Independent Design Assurance & Audit Veto Office,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T19:37+07:00,Boss,FROZEN,D0 Audit Veto activation blocked until Cross-Domain Lead and actual review-cycle expert identities are evidenced,Critical,ERPPLUS-114
