item,expert_cell,paired_design_team,expert_role,existing_capability,named_owner,evidence_location,timestamp,reviewer,verification_status,gate_impact,jira
Team11.1,Functional & Domain Audit,TEAM01,Audit Veto Expert Functional & Domain Design,EXPERT IBPV Boss-approved capability available,UNASSIGNED,EXPERT_IBPV_CHARTER.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_CAPABILITY_EXISTS,Required D0-D3 independent challenge; named staffing still HOLD,ERPPLUS-115
Team11.2,SaaS & Platform Audit,TEAM02,Audit Veto Expert SaaS & Platform,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team02 D3 if reviewer not assigned,ERPPLUS-116
Team11.3,Data & Database Audit,TEAM03,Audit Veto Expert Data & Database,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team03 D3 if reviewer not assigned,ERPPLUS-117
Team11.4,Integration API Event Audit,TEAM04,Audit Veto Expert Integration / API / Event,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team04 D3 if reviewer not assigned,ERPPLUS-118
Team11.5,Security IAM Approval Audit,TEAM05,Audit Veto Expert Security / IAM / Approval / Audit,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team05 D3 if reviewer not assigned,ERPPLUS-119
Team11.6,Reporting & Analytics Audit,TEAM06,Audit Veto Expert Reporting & Analytics,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team06 D3 if reviewer not assigned,ERPPLUS-120
Team11.7,Localization & Compliance Audit,TEAM07,Audit Veto Expert Localization & Compliance,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team07 D3 if reviewer not assigned,ERPPLUS-121
Team11.8,Migration & Canonical Mapping Audit,TEAM08,Audit Veto Expert Migration & Canonical Mapping,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team08 D3 if reviewer not assigned,ERPPLUS-122
Team11.9,NFR Reliability Operability Audit,TEAM09,Audit Veto Expert NFR / Reliability / Operability,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team09 D3 if reviewer not assigned,ERPPLUS-123
Team11.10,AI Capability & Automation Audit,TEAM10,Audit Veto Expert AI Capability & Automation,No named specialist evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Blocks Team10 D3 if reviewer not assigned,ERPPLUS-124
Team11.Lead,Cross-Domain Audit Veto Lead,TEAM01-TEAM10,Cross-Domain Assurance Lead,No named lead evidenced,UNASSIGNED,TEAM11_INDEPENDENT_AUDIT_VETO_CHARTER_v1.0.md,2026-08-30T18:31+07:00,Boss,ROLE_APPROVED_PERSONNEL_HOLD,Required for horizontal D3 cross-domain assurance,ERPPLUS-125
