id,create_uid,create_date,write_date,write_uid,website,summary,name,author,icon,state,latest_version,shortdesc,category_id,description,application,demo,web,license,sequence,auto_install,to_buy,maintainer,published_version,url,contributors,menus_by_module,reports_by_module,views_by_module,module_type,imported
1157,\N,\N,2026-03-20 02:19:34.268983,1,,"{""en_US"": """"}",spreadsheet_sale_management,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""Sale order spreadsheet"", ""th_TH"": ""สเปรดชีตใบสั่งขาย""}",21,"{""en_US"": ""Link a spreadsheet to a quotation templates and access your calculator from a Sale Order."", ""th_TH"": ""เชื่อมโยงสเปรดชีตกับเทมเพลตใบเสนอราคาและเข้าถึงเครื่องคิดเลขของคุณจากใบสั่งขาย""}",f,f,f,OEEL-1,100,t,f,\N,\N,\N,\N,Settings/Technical/Spreadsheet/Sale Order Spreadsheets,,* INHERIT sale.order.form (form)\n* INHERIT sale.order.template.form (form)\nsale.order.spreadsheet list view (list)\nsale.order.spreadsheet search view (search),official,\N
1400,2,2026-02-02 12:44:48.015117,2026-02-02 12:54:46.031212,1,https://github.com/OCA/partner-contact,"{""en_US"": ""Enhanced zip/npa management system""}",base_location,"Camptocamp,ACYSOS S.L.,Alejandro Santana,Tecnativa,AdaptiveCity,Odoo Community Association (OCA)",/base_location/static/description/icon.png,installed,19.0.1.0.3,"{""en_US"": ""Location management (aka Better ZIP)""}",6,"{""en_US"": ""====================================\\nLocation management (aka Better ZIP)\\n====================================\\n\\n.. !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n   !! This file is generated by oca-gen-addon-readme !!\\n   !! changes will be overwritten.                   !!\\n   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n\\n.. |badge1| image:: https://img.shields.io/badge/maturity-Mature-brightgreen.png\\n    :target: https://odoo-community.org/page/development-status\\n    :alt: Mature\\n.. |badge2| image:: https://img.shields.io/badge/licence-AGPL--3-blue.png\\n    :target: http://www.gnu.org/licenses/agpl-3.0-standalone.html\\n    :alt: License: AGPL-3\\n.. |badge3| image:: https://img.shields.io/badge/github-OCA%2Fpartner--contact-lightgray.png?logo=github\\n    :target: https://github.com/OCA/partner-contact/tree/16.0/base_location\\n    :alt: OCA/partner-contact\\n.. |badge4| image:: https://img.shields.io/badge/weblate-Translate%20me-F47D42.png\\n    :target: https://translation.odoo-community.org/projects/partner-contact-16-0/partner-contact-16-0-base_location\\n    :alt: Translate me on Weblate\\n.. |badge5| image:: https://img.shields.io/badge/runbot-Try%20me-875A7B.png\\n    :target: https://runbot.odoo-community.org/runbot/134/16.0\\n    :alt: Try me on Runbot\\n\\n|badge1| |badge2| |badge3| |badge4| |badge5| \\n\\nThis module introduces a zip model that allows you to manage locations in a better way.\\n\\nThe zips will allow the users to complete automatically all address-related fields by just filling the zip.\\n\\nAlso allows different search filters.\\n\\n**Table of contents**\\n\\n.. contents::\\n   :local:\\n\\nConfiguration\\n=============\\n\\n#. Go to *Contacts / Configuration / Localization / Cities*.\\n#. Create a new City.\\n\\n#. Go to *Contacts / Configuration / Localization / Zips*.\\n#. Create a new Zip and relate it to the city (you can also create the Zip from the City).\\n\\nor, with module 'Contacts Directory' installed:\\n#. Go to *Contacts / Configuration / Localization / Countries*.\\n#. Locate the desired country.\\n#. Press on the button 'Cities' / 'Zips'.\\n\\nUsage\\n=====\\n\\n#. Access a partner record\\n#. Fill the field *Location completion*\\n#. Information about country, state, city and zip will be filled automatically\\n\\nBug Tracker\\n===========\\n\\nBugs are tracked on `GitHub Issues <https://github.com/OCA/partner-contact/issues>`_.\\nIn case of trouble, please check there if your issue has already been reported.\\nIf you spotted it first, help us smashing it by providing a detailed and welcomed\\n`feedback <https://github.com/OCA/partner-contact/issues/new?body=module:%20base_location%0Aversion:%2016.0%0A%0A**Steps%20to%20reproduce**%0A-%20...%0A%0A**Current%20behavior**%0A%0A**Expected%20behavior**>`_.\\n\\nDo not contact contributors directly about support or help with technical issues.\\n\\nCredits\\n=======\\n\\nAuthors\\n~~~~~~~\\n\\n* Camptocamp\\n* ACYSOS S.L.\\n* Alejandro Santana\\n* Tecnativa\\n* AdaptiveCity\\n\\nContributors\\n~~~~~~~~~~~~\\n\\n* Nicolas Bessi (Camptocamp)\\n* Ignacio Ibeas (Acysos S.L.)\\n* Pedro M. Baeza <pedro.baeza@gmail.com>\\n* Alejandro Santana <alejandrosantana@anubia.es>\\n* Sandy Carter <sandy.carter@savoirfairelinux.com>\\n* Yannick Vaucher <yannick.vaucher@camptocamp.com>\\n* Francesco Apruzzese <f.apruzzese@apuliasoftware.it>\\n* Dave Lasley <dave@laslabs.com>\\n* Aitor Bouzas <aitor.bouzas@adaptivecity.com>\\n\\nOther credits\\n~~~~~~~~~~~~~\\n\\n* Icon park: `Icon http://icon-park.com/icon/location-map-pin-orange3/`\\n\\nMaintainers\\n~~~~~~~~~~~\\n\\nThis module is maintained by the OCA.\\n\\n.. image:: https://odoo-community.org/logo.png\\n   :alt: Odoo Community Association\\n   :target: https://odoo-community.org\\n\\nOCA, or the Odoo Community Association, is a nonprofit organization whose\\nmission is to support the collaborative development of Odoo features and\\npromote its widespread use.\\n\\n.. |maintainer-pedrobaeza| image:: https://github.com/pedrobaeza.png?size=40px\\n    :target: https://github.com/pedrobaeza\\n    :alt: pedrobaeza\\n\\nCurrent `maintainer <https://odoo-community.org/page/maintainer-role>`__:\\n\\n|maintainer-pedrobaeza| \\n\\nThis module is part of the `OCA/partner-contact <https://github.com/OCA/partner-contact/tree/16.0/base_location>`_ project on GitHub.\\n\\nYou are welcome to contribute. To learn how please visit https://odoo-community.org/page/Contribute.\\n""}",f,f,f,AGPL-3,100,f,f,\N,\N,,\N,Contacts/Configuration/Localization/Cities\nContacts/Configuration/Localization/Zips,,* INHERIT hr.employee.zip_id.2 (form)\n* INHERIT res.city list (list)\n* INHERIT res.company.form.city (form)\n* INHERIT res.country form (form)\n* INHERIT res.partner.zip_id.2 (form)\nres.city form (form)\nres.city.zip.form (form)\nres.city.zip.select (search)\nres.city.zip.tree (list)\nres.country.search (search),official,\N
1402,2,2026-02-02 12:44:48.015117,2026-02-02 12:54:16.24842,1,https://github.com/OCA/l10n-thailand,"{""en_US"": ""Convert Amount Text to Thai""}",l10n_th_amount_to_text,"Ecosoft, Odoo Community Association (OCA)",/l10n_th_amount_to_text/static/description/icon.png,installed,19.0.1.0.0,"{""en_US"": ""Thai Localization - Convert Amount Text to Thai""}",136,"{""en_US"": ""===============================================\\nThai Localization - Convert Amount Text to Thai\\n===============================================\\n\\n.. !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n   !! This file is generated by oca-gen-addon-readme !!\\n   !! changes will be overwritten.                   !!\\n   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n\\n.. |badge1| image:: https://img.shields.io/badge/maturity-Alpha-red.png\\n    :target: https://odoo-community.org/page/development-status\\n    :alt: Alpha\\n.. |badge2| image:: https://img.shields.io/badge/licence-AGPL--3-blue.png\\n    :target: http://www.gnu.org/licenses/agpl-3.0-standalone.html\\n    :alt: License: AGPL-3\\n.. |badge3| image:: https://img.shields.io/badge/github-OCA%2Fl10n--thailand-lightgray.png?logo=github\\n    :target: https://github.com/OCA/l10n-thailand/tree/13.0/l10n_th_amount_to_text\\n    :alt: OCA/l10n-thailand\\n.. |badge4| image:: https://img.shields.io/badge/weblate-Translate%20me-F47D42.png\\n    :target: https://translation.odoo-community.org/projects/l10n-thailand-13-0/l10n-thailand-13-0-l10n_th_amount_to_text\\n    :alt: Translate me on Weblate\\n.. |badge5| image:: https://img.shields.io/badge/runbot-Try%20me-875A7B.png\\n    :target: https://runbot.odoo-community.org/runbot/238/13.0\\n    :alt: Try me on Runbot\\n\\n|badge1| |badge2| |badge3| |badge4| |badge5| \\n\\nNormally, Core odoo has function ``amount_to_text`` and\\nreturn text language from context or user setting\\n\\nExample : 45.75 Baht\\n\\n* User Language 'Thai' -> สี่สิบห้า Baht และ เจ็ดสิบห้า Satang\\n* User Language 'English' -> Forty-Five Baht and Seventy-Five Satang\\n\\nWhich is incorrect when converted into thai.\\n\\nThis module provides base for convert number to text thai.\\n\\n.. IMPORTANT::\\n   This is an alpha version, the data model and design can change at any time without warning.\\n   Only for development or testing purpose, do not use in production.\\n   `More details on development status <https://odoo-community.org/page/development-status>`_\\n\\n**Table of contents**\\n\\n.. contents::\\n   :local:\\n\\nConfiguration\\n=============\\n\\nTo configure this module, you need to:\\n\\n* Module num2words version >= 0.5.7\\n\\nUsage\\n=====\\n\\nCall function amount_to_text in model currency (res.currency).\\n\\nFor example if you need to convert amount to text in the QWEB your report,\\nadd this code to your report::\\n\\n    <t t-foreach=\\""docs\\"" t-as=\\""o\\"">\\n        <t t-set=\\""currency\\"" t-value=\\""o.currency_id\\""/>\\n        # Convert to Thai Text\\n        <t t-esc=\\""currency.with_context({'lang': 'th_TH'}).amount_to_text(45.75)\\""/>\\n\\n        # Convert to Text, By core odoo\\n        <t t-esc=\\""currency.amount_to_text(45.75)\\""/>\\n    </t>\\n\\nIf you send context lang th_TH\\n\\n* Currency is THB, result is ``สี่สิบห้าบาทเจ็ดสิบห้าสตางค์``\\n* Currency is EUR, result is ``สี่สิบห้ายูโรเจ็ดสิบห้าเซนต์``\\n* Currency is USD, result is ``สี่สิบห้าดอลลาร์เจ็ดสิบห้าเซนต์``\\n\\nif not send context, result will call core odoo\\n\\nBug Tracker\\n===========\\n\\nBugs are tracked on `GitHub Issues <https://github.com/OCA/l10n-thailand/issues>`_.\\nIn case of trouble, please check there if your issue has already been reported.\\nIf you spotted it first, help us smashing it by providing a detailed and welcomed\\n`feedback <https://github.com/OCA/l10n-thailand/issues/new?body=module:%20l10n_th_amount_to_text%0Aversion:%2013.0%0A%0A**Steps%20to%20reproduce**%0A-%20...%0A%0A**Current%20behavior**%0A%0A**Expected%20behavior**>`_.\\n\\nDo not contact contributors directly about support or help with technical issues.\\n\\nCredits\\n=======\\n\\nAuthors\\n~~~~~~~\\n\\n* Ecosoft\\n\\nContributors\\n~~~~~~~~~~~~\\n\\n* Saran Lim. <saranl@ecosoft.co.th>\\n\\nMaintainers\\n~~~~~~~~~~~\\n\\nThis module is maintained by the OCA.\\n\\n.. image:: https://odoo-community.org/logo.png\\n   :alt: Odoo Community Association\\n   :target: https://odoo-community.org\\n\\nOCA, or the Odoo Community Association, is a nonprofit organization whose\\nmission is to support the collaborative development of Odoo features and\\npromote its widespread use.\\n\\n.. |maintainer-Saran440| image:: https://github.com/Saran440.png?size=40px\\n    :target: https://github.com/Saran440\\n    :alt: Saran440\\n\\nCurrent `maintainer <https://odoo-community.org/page/maintainer-role>`__:\\n\\n|maintainer-Saran440| \\n\\nThis module is part of the `OCA/l10n-thailand <https://github.com/OCA/l10n-thailand/tree/13.0/l10n_th_amount_to_text>`_ project on GitHub.\\n\\nYou are welcome to contribute. To learn how please visit https://odoo-community.org/page/Contribute.\\n""}",f,f,f,AGPL-3,100,f,f,\N,\N,,\N,,,,official,\N
1456,2,2026-02-17 06:16:50.099047,2026-03-18 10:20:18.170598,2,https://scgl.co.th/,"{""en_US"": ""Equipment Sequence""}",equipment_sequence_ext,"SCGLEGACY(THAILAND) CO.,LTD(HEAD OFFICE)",/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Equipment Sequence Extension BHPRO""}",150,"{""en_US"": ""\\nManagement and create sequence for equipment\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,,\N,,,,official,\N
1457,2,2026-02-20 05:13:50.395254,2026-03-28 08:53:01.956909,1,,"{""en_US"": ""Customized module extends sale.""}",sale_productinfo_ext,,/base/static/description/icon.png,installed,19.0.1,"{""en_US"": ""Sale Product Information Customization Module""}",20,"{""en_US"": """"}",t,f,f,LGPL-3,10,f,f,\N,\N,,\N,,,* INHERIT product.template.customer.form.inherit (form)\n* INHERIT view.order.form.inherit.customerinfo (form)\nproduct.customer.info.list.view (list),official,\N
1401,2,2026-02-02 12:44:48.015117,2026-02-02 12:54:46.877956,1,https://github.com/OCA/partner-contact,"{""en_US"": ""Import zip entries from Geonames""}",base_location_geonames_import,"Akretion,Agile Business Group,Tecnativa,AdaptiveCity,Odoo Community Association (OCA)",/base_location_geonames_import/static/description/icon.png,installed,19.0.0.0.2,"{""en_US"": ""Base Location Geonames Import""}",135,"{""en_US"": ""=============================\\nBase Location Geonames Import\\n=============================\\n\\n.. !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n   !! This file is generated by oca-gen-addon-readme !!\\n   !! changes will be overwritten.                   !!\\n   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n\\n.. |badge1| image:: https://img.shields.io/badge/maturity-Mature-brightgreen.png\\n    :target: https://odoo-community.org/page/development-status\\n    :alt: Mature\\n.. |badge2| image:: https://img.shields.io/badge/licence-AGPL--3-blue.png\\n    :target: http://www.gnu.org/licenses/agpl-3.0-standalone.html\\n    :alt: License: AGPL-3\\n.. |badge3| image:: https://img.shields.io/badge/github-OCA%2Fpartner--contact-lightgray.png?logo=github\\n    :target: https://github.com/OCA/partner-contact/tree/16.0/base_location_geonames_import\\n    :alt: OCA/partner-contact\\n.. |badge4| image:: https://img.shields.io/badge/weblate-Translate%20me-F47D42.png\\n    :target: https://translation.odoo-community.org/projects/partner-contact-16-0/partner-contact-16-0-base_location_geonames_import\\n    :alt: Translate me on Weblate\\n.. |badge5| image:: https://img.shields.io/badge/runbot-Try%20me-875A7B.png\\n    :target: https://runbot.odoo-community.org/runbot/134/16.0\\n    :alt: Try me on Runbot\\n\\n|badge1| |badge2| |badge3| |badge4| |badge5| \\n\\nThis module adds a wizard to import cities and/or city zip entries from\\n`Geonames <http://www.geonames.org/>`_ database.\\n\\n**Table of contents**\\n\\n.. contents::\\n   :local:\\n\\nConfiguration\\n=============\\n\\nTo access the menu to import city zip entries from Geonames\\nyou must be part of the group *Administration / Settings*.\\n\\nIf you want/need to modify the default Geonames URL\\n(http://download.geonames.org/export/zip/), you can set the *geonames.url*\\nsystem parameter.\\n\\nUsage\\n=====\\n\\nGo to the menu *Contacts > Configuration > Localization > Import from Geonames*.\\nIn the wizard, select one or several countries and click on the *Import* button.\\n\\nFor each selected country, the wizard will delete all not detected entries, download\\nthe latest version of the list of cities from geonames.org and create new\\ncity zip entries.\\n\\nBug Tracker\\n===========\\n\\nBugs are tracked on `GitHub Issues <https://github.com/OCA/partner-contact/issues>`_.\\nIn case of trouble, please check there if your issue has already been reported.\\nIf you spotted it first, help us smashing it by providing a detailed and welcomed\\n`feedback <https://github.com/OCA/partner-contact/issues/new?body=module:%20base_location_geonames_import%0Aversion:%2016.0%0A%0A**Steps%20to%20reproduce**%0A-%20...%0A%0A**Current%20behavior**%0A%0A**Expected%20behavior**>`_.\\n\\nDo not contact contributors directly about support or help with technical issues.\\n\\nCredits\\n=======\\n\\nAuthors\\n~~~~~~~\\n\\n* Akretion\\n* Agile Business Group\\n* Tecnativa\\n* AdaptiveCity\\n\\nContributors\\n~~~~~~~~~~~~\\n\\n* Alexis de Lattre <alexis.delattre@akretion.com>\\n* Lorenzo Battistini <lorenzo.battistini@agilebg.com>\\n* Pedro M. Baeza <pedro.baeza@tecnativa.com>\\n* Dave Lasley <dave@laslabs.com>\\n* Jordi Ballester <jordi.ballester@forgeflow.com>\\n* Franco Tampieri <franco@tampieri.info>\\n* Aitor Bouzas <aitor.bouzas@adaptivecity.com>\\n* Manuel Regidor <manuel.regidor@sygel.es>\\n\\nMaintainers\\n~~~~~~~~~~~\\n\\nThis module is maintained by the OCA.\\n\\n.. image:: https://odoo-community.org/logo.png\\n   :alt: Odoo Community Association\\n   :target: https://odoo-community.org\\n\\nOCA, or the Odoo Community Association, is a nonprofit organization whose\\nmission is to support the collaborative development of Odoo features and\\npromote its widespread use.\\n\\nThis module is part of the `OCA/partner-contact <https://github.com/OCA/partner-contact/tree/16.0/base_location_geonames_import>`_ project on GitHub.\\n\\nYou are welcome to contribute. To learn how please visit https://odoo-community.org/page/Contribute.\\n""}",f,f,f,AGPL-3,100,f,f,\N,\N,,\N,Contacts/Configuration/Localization/Import from Geonames,,* INHERIT res.country.geonames.form (form)\nImport from Geonames form view (form),official,\N
1403,2,2026-02-02 12:44:48.015117,2026-02-02 12:54:47.346698,1,https://github.com/OCA/l10n-thailand,"{""en_US"": """"}",l10n_th_base_location,"Ecosoft, Odoo Community Association (OCA)",/l10n_th_base_location/static/description/icon.png,installed,19.0.0.0.2,"{""en_US"": ""Thai Localization - Base Location""}",138,"{""en_US"": ""=================================\\nThai Localization - Base Location\\n=================================\\n\\n.. !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n   !! This file is generated by oca-gen-addon-readme !!\\n   !! changes will be overwritten.                   !!\\n   !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!\\n\\n.. |badge1| image:: https://img.shields.io/badge/maturity-Beta-yellow.png\\n    :target: https://odoo-community.org/page/development-status\\n    :alt: Beta\\n.. |badge2| image:: https://img.shields.io/badge/licence-AGPL--3-blue.png\\n    :target: http://www.gnu.org/licenses/agpl-3.0-standalone.html\\n    :alt: License: AGPL-3\\n.. |badge3| image:: https://img.shields.io/badge/github-OCA%2Fl10n--thailand-lightgray.png?logo=github\\n    :target: https://github.com/OCA/l10n-thailand/tree/15.0/l10n_th_base_location\\n    :alt: OCA/l10n-thailand\\n.. |badge4| image:: https://img.shields.io/badge/weblate-Translate%20me-F47D42.png\\n    :target: https://translation.odoo-community.org/projects/l10n-thailand-15-0/l10n-thailand-15-0-l10n_th_base_location\\n    :alt: Translate me on Weblate\\n.. |badge5| image:: https://img.shields.io/badge/runbot-Try%20me-875A7B.png\\n    :target: https://runbot.odoo-community.org/runbot/238/15.0\\n    :alt: Try me on Runbot\\n\\n|badge1| |badge2| |badge3| |badge4| |badge5| \\n\\nThis module adds the language choices for import cities and/or city zip entries of Thailand.\\n\\n**Table of contents**\\n\\n.. contents::\\n   :local:\\n\\nInstallation\\n============\\n\\nTo install this module, you need the Python library 'requests'::\\n\\n    pip install requests\\n\\nUsage\\n=====\\n\\nGo to *Contacts > Configuration > Localization > Import from Geonames*,\\nand click on it to open a wizard.\\n\\nWhen you start the wizard, it will ask you to select a country.\\n\\nIf you select Thailand, you can choose a language of data imports.\\n\\nBug Tracker\\n===========\\n\\nBugs are tracked on `GitHub Issues <https://github.com/OCA/l10n-thailand/issues>`_.\\nIn case of trouble, please check there if your issue has already been reported.\\nIf you spotted it first, help us smashing it by providing a detailed and welcomed\\n`feedback <https://github.com/OCA/l10n-thailand/issues/new?body=module:%20l10n_th_base_location%0Aversion:%2015.0%0A%0A**Steps%20to%20reproduce**%0A-%20...%0A%0A**Current%20behavior**%0A%0A**Expected%20behavior**>`_.\\n\\nDo not contact contributors directly about support or help with technical issues.\\n\\nCredits\\n=======\\n\\nAuthors\\n~~~~~~~\\n\\n* Ecosoft\\n\\nContributors\\n~~~~~~~~~~~~\\n\\n* `Ecosoft <http://ecosoft.co.th>`__:\\n\\n  * Pimolnat Suntian <pimolnats@ecosoft.co.th>\\n  * Saran Lim. <saranl@ecosoft.co.th>\\n  * Kranokporn Th. <kranokpornt@ecosoft.co.th>\\n  * Nantikan Chaidech <nantikanc@ecosoft.co.th>\\n\\nOther credits\\n~~~~~~~~~~~~~\\n\\n* `Tanabutr <https://www.tanabutr.co.th>`__:\\n\\n  * Poonlap Veerathanabutr <poonlap@tanabutr.co.th>\\n\\nMaintainers\\n~~~~~~~~~~~\\n\\nThis module is maintained by the OCA.\\n\\n.. image:: https://odoo-community.org/logo.png\\n   :alt: Odoo Community Association\\n   :target: https://odoo-community.org\\n\\nOCA, or the Odoo Community Association, is a nonprofit organization whose\\nmission is to support the collaborative development of Odoo features and\\npromote its widespread use.\\n\\nThis module is part of the `OCA/l10n-thailand <https://github.com/OCA/l10n-thailand/tree/15.0/l10n_th_base_location>`_ project on GitHub.\\n\\nYou are welcome to contribute. To learn how please visit https://odoo-community.org/page/Contribute.\\n""}",f,f,f,AGPL-3,100,f,f,\N,\N,,\N,,,* INHERIT Import from Geonames form view (form)\n* INHERIT res.city.zip list (list),official,\N
1496,1,2026-03-13 15:24:53.831593,2026-03-13 15:24:53.831593,1,,"{""en_US"": """"}",pos_platform_order_grabfood,Odoo S.A.,/pos_platform_order_grabfood/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Platform Order Provider: GrabFood""}",62,"{""en_US"": ""\\nThis module integrates with GrabFood to receive and manage orders.\\n""}",f,f,f,OEEL-1,100,f,f,\N,\N,,\N,,,,\N,\N
1526,2,2026-05-09 03:05:22.782018,2026-05-22 07:28:48.943011,1,,"{""en_US"": ""Hide the Community/Enterprise Edition notice in Settings""}",bh_hide_odoo_edition,SCGL,/base/static/description/icon.png,installed,19.0.1.0.0,"{""en_US"": ""BH Hide Odoo Edition""}",90,"{""en_US"": """"}",f,f,f,LGPL-3,100,f,f,\N,\N,,\N,,,* INHERIT res.config.settings.view.form.bh.hide.about (form),official,\N
1453,2,2026-02-12 06:34:10.336931,2026-02-12 06:34:10.336931,2,\N,\N,studio_customization,บริษัท บีเอช โปร อินเตอร์เนชั่นเนล จำกัด,/base/static/description/icon.png,installed,\N,"{""en_US"": ""Studio customizations""}",125,"{""en_US"": ""This module has been generated by Odoo Studio.\\nIt contains the apps created with Studio and the customizations of existing apps.""}",f,f,f,OPL-1,100,f,f,\N,\N,\N,\N,,,* INHERIT Odoo Studio: res.partner.list customization (list),official,t
