Gap_ID,Domain,Finding,Severity,Owner,Required_Deliverable,Due_Date,Evidence_Status,Verification_Status,Gate_Impact,Next_Action,Boss_Decision_Required
DR-GAP-001,Source Evidence,"SHA-256 and byte size absent for all three current archives",CRITICAL,Source Evidence Owner,CURRENT_SOURCE_ARCHIVE_MANIFEST.csv,TBD,NO_EVIDENCE,HOLD,HOLD,"Run hash and metadata extraction in file-accessible environment",NO
DR-GAP-002,Source Evidence,"Recursive current archive contents not inventoried",CRITICAL,Source Evidence Owner,CURRENT_SOURCE_ARCHIVE_MANIFEST.csv,TBD,NO_EVIDENCE,HOLD,HOLD,"Generate normalized recursive file listing",NO
DR-GAP-003,Source Inventory,"Current 1502 item-level manifest absent",CRITICAL,Source Research Owner,CURRENT_MODULE_MANIFEST_1502.csv,TBD,NO_EVIDENCE,HOLD,HOLD,"Parse all current manifests and reconcile uniqueness",NO
DR-GAP-004,Source Lineage,"66-record delta from historical 1436 baseline unattributed",CRITICAL,Source Research Owner,SOURCE_DELTA_1436_TO_1502.csv,TBD,NO_EVIDENCE,HOLD,HOLD,"Name every addition removal and modification",NO
DR-GAP-005,Classification,"Current item-level A/B/C/D classification register absent",CRITICAL,Governance and Legal Owner,CURRENT_CLASSIFICATION_REGISTER.csv,TBD,NO_EVIDENCE,HOLD,HOLD,"Classify every module with rationale and license",NO
DR-GAP-006,Quarantine,"Identities of 12 claimed CLASS-D modules absent",CRITICAL,Governance and Legal Owner,CLASS_D_QUARANTINE_REGISTER.csv,TBD,NO_EVIDENCE,HOLD,HOLD,"Name and access-control all CLASS-D items",YES_IF_AUTHORIZATION_REQUESTED
DR-GAP-007,Database Evidence,"Current dump SHA-256 format version timestamp and lineage absent",CRITICAL,Database Evidence Owner,CURRENT_DATABASE_IDENTITY.md,TBD,NO_EVIDENCE,HOLD,HOLD,"Verify current dump identity before catalog reconciliation",NO
DR-GAP-008,Database Delta,"Two-column delta from 13940 to 13942 unnamed",HIGH,Database Research Owner,DATABASE_COLUMN_DELTA_13940_TO_13942.csv,TBD,NO_EVIDENCE,HOLD,HOLD,"Name and explain both current columns",NO
DR-GAP-009,Code DB Mapping,"Current 27682-row mapping is not bound to current source and dump hashes",CRITICAL,Mapping Owner,CURRENT_CODE_DB_MAPPING_REGISTER.csv,TBD,NO_EVIDENCE,HOLD,HOLD,"Re-run or rebind mapping against verified artifacts",NO
DR-GAP-010,Mapping Semantics,"Scanner statuses not normalized to semantic statuses",HIGH,Mapping Owner,MAPPING_SEMANTIC_RECLASSIFICATION.csv,TBD,PARTIAL,HOLD,HOLD,"Classify non-stored relation generated source-only and ambiguous cases",NO
DR-GAP-011,Clean Room,"Independent reviewer segregation not evidenced",CRITICAL,PMO,INDEPENDENT_CLEAN_ROOM_REVIEW.md,TBD,NO_EVIDENCE,HOLD,HOLD,"Assign reviewer independent from analyst/specification author",NO
DR-GAP-012,Thai Compliance,"Thai accounting legal and tax owner review absent",HIGH,Accounting and Legal Owner,THAI_ACCOUNTING_LEGAL_REVIEW.md,TBD,NO_EVIDENCE,HOLD,HOLD,"Review VAT WHT statutory documents rounding and filing semantics",NO
DR-GAP-013,Governance,"Authoritative Board STATE STEP binding absent",HIGH,PMO,AUTHORITATIVE_STEP_BINDING.md,TBD,NO_EVIDENCE,HOLD,HOLD,"Bind workstream and approve denominator or retain TBD",YES
DR-GAP-014,Historical Evidence,"v1.4 HOLD/PASS_WITH_GAPS to v1.5 PASS closure lineage unresolved",HIGH,Independent Evidence Reviewer,HISTORICAL_GATE_TRANSITION_RECONCILIATION.md,TBD,PARTIAL,HOLD,HOLD,"Identify item-level remediation or classify v1.5 as declaration only",NO
DR-GAP-015,Architecture,"Target Clean-Room Blueprint not independently reviewed or frozen",HIGH,Architecture Office,CLEAN_ROOM_BLUEPRINT_REVIEW_RECORD.md,TBD,PREPARED,HOLD,HOLD,"Review independent design before canonical architecture decision",YES_AT_FUTURE_GATE
