Evidence_ID,Evidence_Path,Source_Commit,Evidence_SHA256,Evidence_Authority,Role_Owner,Named_Owner_Status,Clean_Room_Classification,Intended_Use,Inclusion_Exclusion_Status
B1-EV-01,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/03_SOURCE_MODULE_RECONCILIATION.csv,ecfc9e0860a13796860774dad177552fc2783814,cea86d11780f1f6663f4072a5563b57fd8913d3cb3772d0a2c2d90a2126ba25a,Controlled Register (PRE-STATE04 Batch 0 evidence),PMO Evidence Controller,OWNER_PENDING_NAMED_ASSIGNMENT,CLEAN_ROOM_COMPLIANT,Authoritative source for Batch 1 Active Baseline (1436) and Controlled Delta (69) recount,INCLUDED - source of truth for files 06 and 07
B1-EV-02,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/03A_COMPANY_EXTRA_MODULE_MAPPING.csv,ecfc9e0860a13796860774dad177552fc2783814,c7784d66bb45c3a3f8483a6ae7b6c0a9db05d6d1f98bc5776849e7e9ea9ca3ca,Controlled Register (PRE-STATE04 Batch 0 evidence),PMO Evidence Controller,OWNER_PENDING_NAMED_ASSIGNMENT,CLEAN_ROOM_COMPLIANT,Secondary mapping evidence for the 69 Controlled Delta references (ownership/license detail),INCLUDED - secondary evidence for file 07
B1-EV-03,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/17_EVIDENCE_GAP_REGISTER.csv,ecfc9e0860a13796860774dad177552fc2783814,9f501761ca3bc1c92569d7d338ca057e38a498ca10c8955864cacbfa55582361,Controlled Register (PRE-STATE04 Batch 0 evidence),AI & Source Governance Unit,OWNER_PENDING_NAMED_ASSIGNMENT,CLEAN_ROOM_COMPLIANT,Source of GAP-004/005/006/007/008 dispositions verified traceable in this batch,INCLUDED - GAP-005/007/008 traceability verification basis
B1-EV-04,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/21_MODULE_AND_FUNCTION_COUNT_RECONCILIATION.md,ecfc9e0860a13796860774dad177552fc2783814,23629a4d607fb945f8521b412f1f255a9a9ef7c64147a9571b2761115319e015,Controlled Register (PRE-STATE04 Batch 0 evidence),PMO Evidence Controller,OWNER_PENDING_NAMED_ASSIGNMENT,CLEAN_ROOM_COMPLIANT,Documents the 1436/521/99/8/808/806+2/69/1505 formula and the 8-module non-Thai country-specific exclusion list used to reproduce this batch's calculation,INCLUDED - formula and exclusion-list reference
B1-EV-05,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/25_PENDING_EVIDENCE_REGISTER.csv,ecfc9e0860a13796860774dad177552fc2783814,f3425c5f3cb3f7faaf17e3fc1793709bcc8cdeb73c2936cac8794e3ff808a73b,Controlled Register (PRE-STATE04 Batch 0 evidence),PMO Evidence Controller,OWNER_PENDING_NAMED_ASSIGNMENT,CLEAN_ROOM_COMPLIANT,Carried-forward pending evidence (PEND-001 GAP-008 artifact; PEND-002 addons_extra.zip) referenced by gap traceability check,INCLUDED - pending evidence cross-reference
B1-EV-06,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/27_INDEPENDENT_REVIEW_HANDOFF.md,ecfc9e0860a13796860774dad177552fc2783814,dbbd05990754c71777bc3d6ffa7d04de276805082b239174f6995dc7bf1543a3,Governance Handoff Record,Functional Design Lead - STEP0401 Functional Owner,OWNER_PENDING_NAMED_ASSIGNMENT,CLEAN_ROOM_COMPLIANT,Context for Independent Review boundary; confirms this session cannot self-approve Batch 1,REFERENCED ONLY - not recomputed this batch
B1-EV-07,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/28_STEP040102_INDEPENDENT_REVIEW_REPORT.md,aa6b6fbd03ad90f773d38ba9ffc6ec13fc6aa3cd,700771e46dfa1465063ae91e2a51cfafde1fe4709a5636495fce115898753f72,Independent Review Report,ChatGPT (Architect / Independent Reviewer),NAMED_ROLE - ChatGPT (Independent Reviewer),CLEAN_ROOM_COMPLIANT,Predecessor independent review evidence supporting GAP-007/GAP-008 disposition continuity,REFERENCED ONLY - not recomputed this batch
B1-EV-08,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/29_STEP040107_BOSS_FINAL_DECISION_AND_BATCH0_CLOSURE.md,f3bfc0ab05d00df1dcb922dd137a438dbfe8f0d4,784d2597349e9179564b6a926af3437efaf629d0581d0aac234fe64580f2ed72,Boss Final Decision Record,Boss (Sole Final Approver),NAMED_ROLE - Boss,CLEAN_ROOM_COMPLIANT,Boss decision evidence closing PRE-STATE04 Batch 0 and authorizing GAP-007/GAP-008 dispositions carried into this batch,REFERENCED ONLY - not recomputed this batch
B1-EV-09,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/PRE_STATE04_FUNCTIONAL_SANITIZATION/30_STEP040108_AI_PLATFORM_MODEL_AND_AGENT_METADATA_CORRECTION.md,f3a1412267ebff4a29a5b88422e5be9f5bd85f19,24020cba43da28be291d014fdef8a3ff0eb15c56bb0898420871c5213af4aa86,Governance Metadata Correction,Claude Code (GitHub Governance Execution Agent),NAMED_ROLE - Claude Code (Governance Execution Agent),CLEAN_ROOM_COMPLIANT,Predecessor AI metadata integrity correction; governs the model-identity withholding convention followed in this batch,REFERENCED ONLY - not recomputed this batch
B1-EV-10,99_SMEsPlus_Enterprise_Suite/07_Output_From_AI/STATE04_STEP0401_EVIDENCE_MODULE_INVENTORY_BASELINE/00_STEP0401_INDEX.md,dd29040a56a0e9d46b600d045e6ad8459f1c10cc,fbc3d3ab871c879f44fdb96af8f473664817c8799de285675c35a76853de344f,STEP0401 Package Index (frozen; not modified this batch),Claude Code (GitHub Governance Execution Agent),OWNER_PENDING_NAMED_ASSIGNMENT,CLEAN_ROOM_COMPLIANT,Predecessor package index verified present and unmodified,PRESERVED - verified via sha256sum -c against 04_STEP0401_PACKAGE_MANIFEST_SHA256.txt (OK)
