Evidence_ID,Source_Module,Source_Zip_Inventory,Manifest_Name,Category,Preliminary_Classification,Baseline_Status,Intake_Status,Functional_Design_Eligibility,Related_GAP,Source_Evidence_Reference
PS04-EXT-0001,app_icon_hide,addons_extra.zip,SMEsPlus Hide Mobile Icon,Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0002,auto_database_backup,addons_extra.zip,"Automatic Database Backup To Local Server, Remote Server,Google Drive, Dropbox, Onedrive, Nextcloud and Amazon S3 Odoo18",Extra Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0003,base_location,addons_extra.zip,Location management (aka Better ZIP),,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0004,base_location_geonames_import,addons_extra.zip,Base Location Geonames Import,Partner Management,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0005,bi_print_journal_entries,addons_extra.zip,Print Journal Entries Report,Account,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0006,bm_thai_rd_vat_company_search,addons_extra.zip,Thailand RD VAT Company,Accounting/Localization/Master Data,THAILAND-RELEVANT-COMPANY-EXTRA,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0007,contact_reference_sequence,addons_extra.zip,19_contact_referece_sequence,,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0008,convert_amount_text_to_thai,addons_extra.zip,Thai Localization - Convert Amount Text to Thai,Localization,THAILAND-RELEVANT-COMPANY-EXTRA,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0009,courier_type,addons_extra.zip,Courier Type,Technical,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
PS04-EXT-0010,cr_effective_date_entries,addons_extra.zip,Effective Date Entries,Extra Tools,COMPANY-EXTRA-CANDIDATE,OUTSIDE_ACTIVE_BASELINE,CONTROLLED-DELTA-INTAKE-PENDING,NOT_AUTHORIZED,GAP-004;GAP-007,03_SOURCE_MODULE_RECONCILIATION.csv;03A_COMPANY_EXTRA_MODULE_MAPPING.csv
