learning_id,application,class,identity,label,model,module,ownership_class,source_root,generation_basis,evidence_pointer,reachability,criticality,research_status,register_coverage,detail,open_question,material_delta,NA_PROCESS,DIM_PROCESS,NA_CONFIGURATION,DIM_CONFIGURATION,NA_OPTIONAL_FUNCTION,DIM_OPTIONAL_FUNCTION,NA_SOURCE,DIM_SOURCE,NA_RUNTIME,DIM_RUNTIME,DIM_DATA_MODEL,NA_DATA_MODEL,NA_SECURITY,DIM_SECURITY,DIM_CROSS_MODULE,NA_CROSS_MODULE,DIM_EDGE,NA_EDGE,FUNCTION_COMPLETE,APPLICABLE_DIMS,VERIFIED_DIMS,CONFIG_CONDITION,OPTIONAL_CLASS,OPTIONAL_ACTIVATION,SECURITY_CONDITION,PROCESS_CONDITION,EDGE_CONDITION,PROCESS_FACETS,CROSS_MODULE_CONDITION,DATA_CONDITION,RUNTIME_CONDITION,DET_PROCESS,RV_PROCESS,DET_CONFIGURATION,RV_CONFIGURATION,DET_OPTIONAL_FUNCTION,RV_OPTIONAL_FUNCTION,DET_SOURCE,RV_SOURCE,DET_RUNTIME,RV_RUNTIME,DET_DATA_MODEL,RV_DATA_MODEL,DET_SECURITY,RV_SECURITY,DET_CROSS_MODULE,RV_CROSS_MODULE,DET_EDGE,RV_EDGE,DETERMINED_COMPLETE,RESEARCH_COMPLETE
LI-INV-MENU-0001,Inventory,MENU,delivery_iot.iot_cached_printers_action,Reset Linked Printers,,delivery_iot,N/A,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),delivery_iot/views/stock_menu_views.xml,RUNTIME REACHABLE (1 of 2),STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""delivery_iot.iot_cached_printers_section"", ""action"": ""iot.action_iot_delete_linked_devices_menu"", ""groups"": null, ""sequence"": ""1"", ""kind"": ""ACTION-BEARING"", ""resolution_hops"": ""?""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,"NO ELEMENT-LEVEL CONDITION — established by the gate census (instrument-validated, positive control fired)",CORE ALWAYS-AVAILABLE,none — always available once the module is installed,NO ELEMENT-LEVEL GATE AND NO OBJECT-LEVEL RULE — established by the security census,"CLIENT — rendered by application code, not by a declarative view",,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0002,Inventory,MENU,delivery_iot.iot_cached_printers_section,Reporting,,delivery_iot,N/A,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),delivery_iot/views/stock_menu_views.xml,RUNTIME REACHABLE (1 of 2),STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": null, ""sequence"": ""50"", ""kind"": ""CONTAINER"", ""resolution_hops"": ""0""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,"NO ELEMENT-LEVEL CONDITION — established by the gate census (instrument-validated, positive control fired)",CORE ALWAYS-AVAILABLE,none — always available once the module is installed,NO ELEMENT-LEVEL GATE AND NO OBJECT-LEVEL RULE — established by the security census,CONTAINER — invokes nothing,,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0003,Inventory,MENU,l10n_cl_edi_stock.menu_sii_chile,Chilean SII,,l10n_cl_edi_stock,N/A,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),l10n_cl_edi_stock/views/menuitems.xml,OPTIONAL MODULE DEPENDENT — not installed on any observed deployment,STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": null, ""sequence"": ""3"", ""kind"": ""CONTAINER"", ""resolution_hops"": ""0""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,"NO ELEMENT-LEVEL CONDITION — established by the gate census (instrument-validated, positive control fired)",CORE ALWAYS-AVAILABLE,none — always available once the module is installed,NO ELEMENT-LEVEL GATE AND NO OBJECT-LEVEL RULE — established by the security census,CONTAINER — invokes nothing,,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0004,Inventory,MENU,l10n_cl_edi_stock.menu_stock_l10n_cl_dte_caf,Cafs,l10n_cl.dte.caf,l10n_cl_edi_stock,SHARED-CONSUMED,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),l10n_cl_edi_stock/views/menuitems.xml,OPTIONAL MODULE DEPENDENT — not installed on any observed deployment,STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""l10n_cl_edi_stock.menu_sii_chile"", ""action"": ""l10n_cl_edi_stock.action_stock_l10n_cl_dte_caf"", ""groups"": null, ""sequence"": ""21"", ""kind"": ""ACTION-BEARING"", ""resolution_hops"": ""1""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,"NO ELEMENT-LEVEL CONDITION — established by the gate census (instrument-validated, positive control fired)",CORE ALWAYS-AVAILABLE,none — always available once the module is installed,NO ELEMENT-LEVEL GATE AND NO OBJECT-LEVEL RULE — established by the security census,"OPENS A RECORD VIEW ON l10n_cl.dte.caf; domain=[('l10n_latam_document_type_id.internal_; context={""search_default_active"":1} — no method executes on open",,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0005,Inventory,MENU,l10n_mx_edi_stock.menu_stock_config_settings_mx,Mexico,,l10n_mx_edi_stock,N/A,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),l10n_mx_edi_stock/views/l10n_mx_edi_customs_document_type_views.xml,OPTIONAL MODULE DEPENDENT — not installed on any observed deployment,STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": ""stock.group_stock_manager"", ""sequence"": ""100"", ""kind"": ""CONTAINER"", ""resolution_hops"": ""0""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,GATED BY GROUP: stock.group_stock_manager,CORE CONFIG-DEPENDENT,none — always available once the module is installed,,CONTAINER — invokes nothing,,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0006,Inventory,MENU,l10n_mx_edi_stock.menu_stock_mx_customs_document_type,Custom Document Type,l10n_mx_edi.customs.document.type,l10n_mx_edi_stock,OWNED,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),l10n_mx_edi_stock/views/l10n_mx_edi_customs_document_type_views.xml,OPTIONAL MODULE DEPENDENT — not installed on any observed deployment,STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""l10n_mx_edi_stock.menu_stock_config_settings_mx"", ""action"": ""l10n_mx_edi_stock.l10n_mx_edi_customs_document_type_action"", ""groups"": ""stock.group_stock_manager"", ""sequence"": null, ""kind"": ""ACTION-BEARING"", ""resolution_hops"": ""1""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,GATED BY GROUP: stock.group_stock_manager,CORE CONFIG-DEPENDENT,none — always available once the module is installed,,OPENS A RECORD VIEW ON l10n_mx_edi.customs.document.type; domain=None; context=None — no method executes on open,,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0007,Inventory,MENU,l10n_mx_edi_stock.menu_stock_mx_customs_regime,Customs Regime,l10n_mx_edi.customs.regime,l10n_mx_edi_stock,OWNED,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),l10n_mx_edi_stock/views/l10n_mx_edi_customs_regime_views.xml,OPTIONAL MODULE DEPENDENT — not installed on any observed deployment,STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""l10n_mx_edi_stock.menu_stock_config_settings_mx"", ""action"": ""l10n_mx_edi_stock.l10n_mx_edi_customs_regime_action"", ""groups"": ""stock.group_stock_manager"", ""sequence"": null, ""kind"": ""ACTION-BEARING"", ""resolution_hops"": ""1""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,GATED BY GROUP: stock.group_stock_manager,CORE CONFIG-DEPENDENT,none — always available once the module is installed,,OPENS A RECORD VIEW ON l10n_mx_edi.customs.regime; domain=None; context=None — no method executes on open,,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0008,Inventory,MENU,l10n_pe_edi_stock.menu_stock_config_settings_pe,Peru,,l10n_pe_edi_stock,N/A,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),l10n_pe_edi_stock/views/vehicle_views.xml,OPTIONAL MODULE DEPENDENT — not installed on any observed deployment,STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": ""stock.group_stock_manager"", ""sequence"": ""100"", ""kind"": ""CONTAINER"", ""resolution_hops"": ""0""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,GATED BY GROUP: stock.group_stock_manager,CORE CONFIG-DEPENDENT,none — always available once the module is installed,,CONTAINER — invokes nothing,,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0009,Inventory,MENU,l10n_pe_edi_stock.menu_stock_pe_vehicles,Vehicles,l10n_pe_edi.vehicle,l10n_pe_edi_stock,OWNED,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),l10n_pe_edi_stock/views/vehicle_views.xml,OPTIONAL MODULE DEPENDENT — not installed on any observed deployment,STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""l10n_pe_edi_stock.menu_stock_config_settings_pe"", ""action"": ""l10n_pe_edi_stock.l10n_pe_edi_vehicle_actions"", ""groups"": ""stock.group_stock_manager"", ""sequence"": null, ""kind"": ""ACTION-BEARING"", ""resolution_hops"": ""1""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,GATED BY GROUP: stock.group_stock_manager,CORE CONFIG-DEPENDENT,none — always available once the module is installed,,OPENS A RECORD VIEW ON l10n_pe_edi.vehicle; domain=None; context=None — no method executes on open,,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
LI-INV-MENU-0010,Inventory,MENU,l10n_tr_nilvera_edispatch.menu_l10n_tr_nilvera,GİB e-Dispatch,,l10n_tr_nilvera_edispatch,N/A,R1,series-19 (content-verified: declarative-constraint construct present; inventory module 313 files),l10n_tr_nilvera_edispatch/views/l10n_tr_nilvera_trailer_plate_views.xml,OPTIONAL MODULE DEPENDENT — not installed on any observed deployment,STANDARD,S1_SOURCE_LOCATED,"01,02,08","{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": null, ""sequence"": ""100"", ""kind"": ""CONTAINER"", ""resolution_hops"": ""0""}",,,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,,VERIFIED,NA,the class holds no data of its own,,VERIFIED,NA,the class has no cross-boundary relation of its own,NA,the class has no lifecycle and therefore no reverse/cancel/return path,YES,6,6,"NO ELEMENT-LEVEL CONDITION — established by the gate census (instrument-validated, positive control fired)",CORE ALWAYS-AVAILABLE,none — always available once the module is installed,NO ELEMENT-LEVEL GATE AND NO OBJECT-LEVEL RULE — established by the security census,CONTAINER — invokes nothing,,,,,,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,NOT_RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,DETERMINED,RESEARCH_VERIFIED,NA,NA,DETERMINED,NOT_RESEARCH_VERIFIED,NA,NA,NA,NA,YES,NO
