DELTA_ID,Evidence_ID,Source_Module,Classification,Thailand_Relevance_Status,Business_Group,Function,Category,Preliminary_Classification,Evidence_Citation,Rationale,Execution_Review_Status,Independent_Review_Status
DELTA-001,PS04-EXT-0023,l10n_th_withholding_tax,IN-SCOPE,CONFIRMED,Accounting & Finance,Thailand Withholding Tax Calculation and Management,Localization / Accounting,THAILAND-PRIORITY-PENDING,Row 24 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Module is explicitly Thailand-localized tax functionality; statutory WHT requirements mandated by Thai tax law,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-002,PS04-EXT-0024,l10n_th_withholding_tax_cert,IN-SCOPE,CONFIRMED,Accounting & Finance,Thailand Withholding Tax Certificate Management,Localization / Accounting,THAILAND-PRIORITY-PENDING,Row 25 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Generates Thai withholding tax certificates (Phor. Sor. 53-3); statutory Thailand requirement,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-003,PS04-EXT-0025,l10n_th_withholding_tax_cert_form,IN-SCOPE,CONFIRMED,Accounting & Finance,Thailand Withholding Tax Certificate Report Form,Report,THAILAND-PRIORITY-PENDING,Row 26 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Generates official Thai withholding tax certificate report form for tax compliance,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-004,PS04-EXT-0026,l10n_th_withholding_tax_multi,IN-SCOPE,CONFIRMED,Accounting & Finance,Thailand Multi-Tax Withholding Management,Localization / Accounting,THAILAND-PRIORITY-PENDING,Row 27 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Supports multiple Thailand withholding tax rates based on vendor type and transaction class,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-005,PS04-EXT-0027,l10n_th_withholding_tax_report,IN-SCOPE,CONFIRMED,Accounting & Finance,Thailand Withholding Tax Reporting and Compliance,Accounting,THAILAND-PRIORITY-PENDING,Row 28 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Generates withholding tax reports for Thailand tax authority submission; essential for THB compliance,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-006,PS04-EXT-0022,l10n_th_reports_ext,IN-SCOPE,CONFIRMED,Accounting & Finance,Thailand Accounting Reports Extension,Accounting,THAILAND-PRIORITY-PENDING,Row 23 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Extends accounting reports to comply with Thailand accounting standards (TAS) and regulatory requirements,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-007,PS04-EXT-0020,l10n_th_base_location,IN-SCOPE,CONFIRMED,Master Data & Configuration,Thailand Location Master Data,Localisation/Asia,THAILAND-PRIORITY-PENDING,Row 21 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,"Provides Thailand-specific location master data (provinces, districts, postcodes) for Thai business operations",REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-008,PS04-EXT-0021,l10n_th_partner,IN-SCOPE,CONFIRMED,Master Data & Configuration,Thailand Partner Master Data Localization,Localisation/Asia,THAILAND-PRIORITY-PENDING,Row 22 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Extends partner master data with Thailand-specific fields and validation rules,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-009,PS04-EXT-0019,l10n_th_amount_to_text,IN-SCOPE,CONFIRMED,Localization,Thai Amount-to-Text Conversion,Localization,THAILAND-PRIORITY-PENDING,Row 20 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Converts numeric amounts to Thai text for invoice and check printing in Thailand,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
DELTA-010,PS04-EXT-0006,bm_thai_rd_vat_company_search,IN-SCOPE,CONFIRMED,Accounting & Finance,Thailand Revenue Department VAT Company Lookup,Accounting/Localization/Master Data,THAILAND-RELEVANT-COMPANY-EXTRA,Row 7 of 07_STEP0401_BATCH1_CONTROLLED_DELTA_REFERENCE_REGISTER.csv,Integrates with Thailand Revenue Department (RD) database for VAT registration verification,REVIEWED BY EXECUTION AGENT,PENDING — CHATGPT / L99.99
