team_id,team_name,primary_board,team_lead_role,required_roles,audit_veto_counterpart,named_lead,named_members,staffing_status,evidence_location,decision_timestamp,verifier,verification_status,gate_impact,jira
TEAM01,Functional & Domain Design,Board04 Business Modules,Functional Architect / Team Lead,"Domain SME; Business Process Analyst; FDS/Requirement Analyst; Acceptance-Criteria Designer; Evidence Coordinator",Team11.1 / EXPERT IBPV mapping,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,No schedule credit until named staffing,ERPPLUS-104
TEAM02,SaaS & Platform Solution Design,Board03 Platform Foundation,SaaS Solution Architect / Team Lead,"Multi-Tenant Architect; Tenant Lifecycle Designer; Entitlement/Subscription Designer; Platform Services Designer; Config/Extensibility Designer; Evidence Coordinator",Team11.2,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,No schedule credit until named staffing,ERPPLUS-105
TEAM03,Data & Database Design,Board06 Data & Canonical Model,Data Architect / Team Lead,"Domain Data Modeler; Logical DB Designer; Master/Reference Data Designer; Data Lifecycle Designer; Tenant Data Boundary Designer; Data Quality/Lineage Analyst",Team11.3,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,No physical schema freeze; no schedule credit until staffed,ERPPLUS-106
TEAM04,Integration / API / Event Design,Board03 Platform Foundation,Integration Architect / Team Lead,"API Contract Designer; Event/Message Designer; Idempotency/Retry Designer; External Interface Analyst; Error Contract Designer; Evidence Coordinator",Team11.4,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,No implementation authority; no schedule credit until staffed,ERPPLUS-107
TEAM05,Security / IAM / Approval / Audit Design,Board05 Approval & Control,Security & Control Architect / Team Lead,"IAM/RBAC/ABAC Designer; SoD Analyst; Approval Policy Designer; Audit-Trail Designer; Sensitive-Action Control Designer; Evidence Coordinator",Team11.5,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,No security sign-off until independently reviewed,ERPPLUS-108
TEAM06,Reporting & Analytics Design,Board04 Business Modules + Board06 Data & Canonical Model,Reporting Architect / Team Lead,"Financial Reporting SME; Operational Reporting SME; KPI/Metric Designer; Drill-down Designer; Reconciliation Designer; Analytics Data Modeler",Team11.6,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,No schedule credit until named staffing,ERPPLUS-109
TEAM07,Localization & Compliance Design,Board04 Business Modules + Board05 Approval & Control,Localization Architect / Team Lead,"Thai Accounting SME; VAT/e-Tax SME; WHT SME; Statutory Document Analyst; Regulatory Evidence Analyst; Compliance Traceability Coordinator",Team11.7,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,Unsupported statutory claims remain HOLD,ERPPLUS-110
TEAM08,Migration & Canonical Mapping Design,Board06 Data & Canonical Model,Migration Architect / Team Lead,"Canonical Mapping Analyst; Transformation Rule Designer; Reconciliation Designer; Cutover Analyst; Exception/Hold Designer; Lineage Coordinator",Team11.8,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,Migration execution not authorized,ERPPLUS-111
TEAM09,NFR / Reliability / Operability Design,Board02 Architecture Review + Board03 Platform Foundation; Board08 consulted,NFR Architect / Team Lead,"Performance/Scalability Designer; Reliability/Availability Designer; Resilience/Recovery Designer; Observability Designer; Backup/DR Analyst; Operability Designer",Team11.9,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,No performance PASS without approved baseline,ERPPLUS-112
TEAM10,AI Capability & Automation Design,Board01 Product Governance + Board03 Platform Foundation,AI Solution Architect / Team Lead,"AI Use-Case Designer; Human-Control Designer; Model I/O Contract Designer; Safety/Fallback Designer; AI Auditability Designer; Automation Workflow Designer",Team11.10,UNASSIGNED,TBD,ROLE_BASELINE_APPROVED_PERSONNEL_HOLD,STATE04_DESIGN_ORGANIZATION_BASELINE_v1.0.md,2026-08-30T18:31+07:00,Boss,APPROVED_ROLE_BASELINE,AI cannot self-approve,ERPPLUS-113
