evidence_id,research_item_id,phase,domain_id,evidence_type,artifact_name,artifact_path,artifact_version,artifact_timestamp,sha256,source_system,access_status,lineage_status,scope_status,owner,evidence_location,reviewer,verifier,verification_status,gate_impact,notes
EV-DR-001,DR-SRC-CURRENT-001,DR1,SOURCE,RAW_ARCHIVE,01_ACCOUNT(1).zip,/mnt/data/01_ACCOUNT(1).zip,CURRENT_UPLOAD,2026-08-28,,USER_UPLOAD,RECEIVED_ALIAS_ONLY,NOT_BYTE_COMPARED_TO_CANONICAL,CURRENT_SCOPE,Source Evidence Owner,Current conversation upload,Enterprise Functional Architect,ChatGPT L99,HOLD_ALIAS_ONLY,DOES_NOT_BLOCK_CANONICAL_SOURCE_GATE,Receipt retained; exact equality with canonical source archive not asserted
EV-DR-002,DR-SRC-CURRENT-002,DR1,SOURCE,RAW_ARCHIVE,02_OTHER(1).zip,/mnt/data/02_OTHER(1).zip,CURRENT_UPLOAD,2026-08-28,,USER_UPLOAD,RECEIVED_ALIAS_ONLY,NOT_BYTE_COMPARED_TO_CANONICAL,CURRENT_SCOPE,Source Evidence Owner,Current conversation upload,Enterprise Functional Architect,ChatGPT L99,HOLD_ALIAS_ONLY,DOES_NOT_BLOCK_CANONICAL_SOURCE_GATE,Receipt retained; exact equality with canonical source archive not asserted
EV-DR-003,DR-SRC-CURRENT-003,DR1,SOURCE,RAW_ARCHIVE,addons_extra(1).zip,/mnt/data/addons_extra(1).zip,CURRENT_UPLOAD,2026-08-28,,USER_UPLOAD,RECEIVED_ALIAS_ONLY,NOT_BYTE_COMPARED_TO_CANONICAL,CURRENT_SCOPE,Source Evidence Owner,Current conversation upload,Enterprise Functional Architect,ChatGPT L99,HOLD_ALIAS_ONLY,DOES_NOT_BLOCK_CANONICAL_SOURCE_GATE,Receipt retained; exact equality with canonical source archive not asserted
EV-DR-004,DR-SRC-HIST-001,DR1,SOURCE,CSV_INVENTORY,Module_Inventory.csv,03_Source_Code/Module_Inventory.csv,2026-06-29,2026-06-29,,ODOO_REFERENCE,ACCESSIBLE,HISTORICAL_VERIFIED,HISTORICAL_SCOPE,Source Research Lead,Historical Phase B package,Evidence Gate PMO,ChatGPT L99,PASS,SUPPORTS_HISTORICAL_SOURCE_BASELINE,Historical 1436-row inventory; 1433 unique technical names identified by later reconciliation
EV-DR-005,DR-DB-HIST-001,DR3,DATABASE,EVIDENCE_PACK,Database structural inventories,04_Database/,2026-06-29,2026-06-29,,POSTGRESQL_DUMP,ACCESSIBLE,HISTORICAL_VERIFIED,HISTORICAL_SCOPE,Database Research Lead,Historical Phase B package,Historical Evidence Gate PMO,ChatGPT L99,PASS_WITH_CONTROL,LIMITS_CURRENT_DB_CERTIFICATION,1395 tables 13940 columns; historical extraction limitation retained
EV-DR-006,DR-MAP-HIST-001,DR4,MAPPING,CSV_MAPPING,Field_Level_Source_to_Dump_Mapping.csv,05_Mapping/Field_Level_Source_to_Dump_Mapping.csv,2026-06-29,2026-06-29,,SOURCE_AND_DUMP,ACCESSIBLE,HISTORICAL_VERIFIED,HISTORICAL_SCOPE,Mapping Lead,Historical Phase B package,Historical Evidence Gate PMO,ChatGPT L99,PASS_WITH_CONTROL,BLOCKS_CURRENT_MAPPING_CERTIFICATION,27682 historical rows; current lineage still separate control
EV-DR-007,DR-BR-HIST-001,DR2,BUSINESS_SEMANTICS,CSV_INVENTORY,Business_Rule_Method_Inventory.csv,08_Technical/Business_Rule_Method_Inventory.csv,2026-06-29,2026-06-29,,ODOO_REFERENCE,ACCESSIBLE,HISTORICAL_VERIFIED,HISTORICAL_SCOPE,Functional Research Lead,Historical Phase B package,Historical Evidence Gate PMO,ChatGPT L99,PASS,SUPPORTS_SEMANTIC_DISCOVERY,4377 method/class discovery records; not executable proof
EV-DR-008,DR-OUT-001,DR2,SOURCE,RESEARCH_REPORT,SOURCE_CODE_FORENSIC_RESEARCH_REPORT.md,01_SOURCE_CODE_RESEARCH/SOURCE_CODE_FORENSIC_RESEARCH_REPORT.md,CURRENT,2026-08-28,,SMESPLUS_GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,Enterprise Functional Architect,GitHub branch feature/SMEPLUS-DEEP-CD-001-cleanroom-research,Clean-Room Review Function,ChatGPT L99,REVIEWED_WITH_CONTROL,SOURCE_GATE_RECONCILING,Original report predates Team A A0/A1 evidence reconciliation
EV-DR-009,DR-OUT-002,DR3,DATABASE,RESEARCH_REPORT,DATABASE_FORENSIC_RESEARCH_REPORT.md,02_DATABASE_RESEARCH/DATABASE_FORENSIC_RESEARCH_REPORT.md,CURRENT,2026-08-28,,SMESPLUS_GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,Enterprise Functional Architect,GitHub branch feature/SMEPLUS-DEEP-CD-001-cleanroom-research,Clean-Room Review Function,ChatGPT L99,REVIEWED_WITH_CONTROL,DATABASE_GATE_RECONCILING,Original report predates EC-04 evidence review
EV-DR-010,DR-OUT-003,DR4,MAPPING,RESEARCH_REPORT,CODE_DB_MAPPING_RECONCILIATION_REPORT.md,03_CODE_DB_MAPPING/CODE_DB_MAPPING_RECONCILIATION_REPORT.md,CURRENT,2026-08-28,,SMESPLUS_GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,Enterprise Functional Architect,GitHub branch feature/SMEPLUS-DEEP-CD-001-cleanroom-research,Clean-Room Review Function,ChatGPT L99,HOLD,MAPPING_GATE_HOLD,Current mapping lineage still open
EV-DR-011,DR-OUT-004,DR5,BUSINESS_SEMANTICS,CLEAN_ROOM_SPEC,CLEAN_ROOM_FUNCTIONAL_DOMAIN_BLUEPRINT.md,04_BUSINESS_SEMANTICS/CLEAN_ROOM_FUNCTIONAL_DOMAIN_BLUEPRINT.md,CURRENT,2026-08-28,,SMESPLUS_GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,Enterprise Functional Architect,GitHub branch feature/SMEPLUS-DEEP-CD-001-cleanroom-research,Independent Clean-Room Review Function,ChatGPT L99,PASS_WITH_CONTROL,REVIEW_BASELINE_ONLY,No source implementation transfer
EV-DR-012,DR-OUT-005,DR6,GAPS,RISK_REGISTER,RESEARCH_GAP_AND_RISK_REGISTER.md,05_EXCEPTION_GAPS/RESEARCH_GAP_AND_RISK_REGISTER.md,CURRENT,2026-08-28,,SMESPLUS_GITHUB,ACCESSIBLE,CURRENT_BRANCH,CURRENT_SCOPE,PMO / Enterprise Functional Architect,GitHub branch feature/SMEPLUS-DEEP-CD-001-cleanroom-research,ChatGPT L99,ChatGPT L99,REVIEWED,UPDATE_REQUIRED_AFTER_EC01_EC04,Prior DR9 gap register remains historical gate input; closure addenda supersede specific gap positions
