id,create_uid,create_date,write_date,write_uid,website,summary,name,author,icon,state,latest_version,shortdesc,category_id,description,application,demo,web,license,sequence,auto_install,to_buy,maintainer,published_version,url,contributors,menus_by_module,reports_by_module,views_by_module,module_type,imported
1497,1,2026-03-29 10:48:55.475382,2026-03-29 10:48:55.475382,1,,"{""en_US"": """"}",web_100,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Web""}",11,"{""en_US"": ""\\nOdoo Web core module.\\n========================\\n\\nThis module provides the core of the Odoo Web Client.\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,,\N,,,,\N,\N
18,\N,\N,2026-06-27 07:20:16.13352,1,,"{""en_US"": ""Extract data from bank statement scans to fill them automatically"", ""th_TH"": ""ดึงข้อมูลจากการสแกนใบแจ้งยอดธนาคารเพื่อกรอกข้อมูลโดยอัตโนมัติ""}",account_bank_statement_extract,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""Account Bank Statement Extract"", ""th_TH"": ""ใบแจ้งยอดบัญชีธนาคาร""}",3,"{""en_US"": """"}",f,f,f,OEEL-1,100,t,f,\N,\N,,\N,,,* INHERIT bank.statement.extract.view.form.bank.rec.widget (form)\n* INHERIT res.config.settings.view.form.inherit.account.bank.statement.extract (form),official,\N
1186,\N,\N,2026-06-23 08:48:23.243233,1,https://www.scgl.co.th/,"{""en_US"": ""View and create reports""}",scgl_account_reports,SCG Legacy,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Scgl Account Reports""}",2,"{""en_US"": ""\\nAccounting Reports\\n==================\\n""}",f,f,f,LGPL-3,100,f,f,\N,\N,\N,\N,,,,official,\N
19,\N,\N,2026-06-27 07:20:16.13352,1,,"{""en_US"": """"}",account_bank_statement_import,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""Account Bank Statement Import"", ""th_TH"": ""รายการเดินบัญชีธนาคาร""}",3,"{""en_US"": ""Generic Wizard to Import Bank Statements.\\n\\n(This module does not include any type of import format.)\\n\\nOFX and QIF imports are available in Enterprise version."", ""th_TH"": ""ตัวช่วยสร้างทั่วไปในการนำเข้ารายการเดินบัญชีธนาคาร\\n\\n(โมดูลนี้ไม่รวมรูปแบบการนำเข้าประเภทใดๆ)\\n\\nการนำเข้า OFX และ QIF มีให้ใช้งานในเวอร์ชันองค์กร""}",f,f,f,OEEL-1,100,t,f,\N,\N,,\N,,,* INHERIT account.bank.statement.list (list)\n* INHERIT account.journal.dashboard.kanban.inherit (kanban),official,\N
25,\N,\N,2026-06-27 07:20:16.13352,1,https://www.odoo.com/app/accounting,"{""en_US"": """"}",account_batch_payment,Odoo S.A.,/account_batch_payment/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Batch Payment"", ""th_TH"": ""เงินดาวน์""}",3,"{""en_US"": ""\\nBatch Payments\\n=======================================\\nBatch payments allow grouping payments.\\n\\nThey are used namely, but not only, to group several cheques before depositing them in a single batch to the bank.\\nThe total amount deposited will then appear as a single transaction on your bank statement.\\nWhen you reconcile, simply select the corresponding batch payment to reconcile all the payments in the batch.\\n"", ""th_TH"": ""\\nการชำระเงินเป็นกลุ่ม\\n=======================================\\nการชำระเงินเป็นชุดช่วยให้สามารถจัดกลุ่มการชำระเงินได้\\n\\nใช้เพื่อจัดกลุ่มเช็คหลายรายการก่อนที่จะฝากเข้าธนาคารเป็นชุดเดียว\\nจำนวนเงินทั้งหมดที่ฝากจะปรากฏเป็นธุรกรรมเดียวในมบแจ้งยอดธนาคารของคุณ\\nเมื่อคุณกระทบยอด เพียงเลือกการชำระเงินชุดงานที่เกี่ยวข้องเพื่อกระทบยอดการชำระเงินทั้งหมดในชุดงาน\\n""}",f,f,f,OEEL-1,100,f,f,\N,\N,\N,\N,,,,official,\N
1495,2,2026-03-18 13:22:29.442139,2026-03-29 10:48:55.475382,1,,"{""en_US"": ""Use FIK Number as Payment reference""}",l10n_dk_fik,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Denmark - FIK Number""}",71,"{""en_US"": ""\\nSupport Danish FIK number as payment references on customer invoices.\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,,\N,,,,official,\N
1234,\N,\N,2026-03-18 04:58:50.421471,1,,"{""en_US"": ""Spreadsheet"", ""th_TH"": ""สเปรดชีต""}",spreadsheet_dashboard_pos_restaurant,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Spreadsheet dashboard for restaurants"", ""th_TH"": ""แดชบอร์ดสเปรดชีตสำหรับร้านอาหาร""}",134,"{""en_US"": ""Spreadsheet"", ""th_TH"": ""สเปรดชีต""}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
33,\N,\N,2026-06-27 07:20:16.13352,1,,"{""en_US"": """"}",account_edi_ubl_cii,Odoo S.A.,/base/static/description/icon.png,installed,19.0.1.0,"{""en_US"": ""Import/Export electronic invoices with UBL/CII"", ""th_TH"": ""นำเข้า/ส่งออกใบแจ้งหนี้อิเล็กทรอนิกส์ด้วย UBL/CII""}",3,"{""en_US"": ""\\nElectronic invoicing module\\n===========================\\n\\nAllows to export and import formats: E-FFF, UBL Bis 3, EHF3, NLCIUS, Factur-X (CII), XRechnung (UBL).\\nWhen generating the PDF on the invoice, the PDF will be embedded inside the xml for all UBL formats. This allows the\\nreceiver to retrieve the PDF with only the xml file. Note that **EHF3 is fully implemented by UBL Bis 3** (`reference\\n<https://anskaffelser.dev/postaward/g3/spec/current/billing-3.0/norway/#_implementation>`_).\\n\\nThe formats can be chosen from the journal (Journal > Advanced Settings) linked to the invoice.\\n\\nNote that E-FFF, NLCIUS and XRechnung (UBL) are only available for Belgian, Dutch and German companies,\\nrespectively. UBL Bis 3 is only available for companies which country is present in the `EAS list\\n<https://docs.peppol.eu/poacc/billing/3.0/codelist/eas/>`_.\\n\\nNote also that in order for Chorus Pro to automatically detect the \\""PDF/A-3 (Factur-X)\\"" format, you need to activate\\nthe \\""Factur-X PDF/A-3\\"" option on the journal. This option will also validate the xml against the Factur-X and Chorus\\nPro rules and show the errors.\\n"", ""th_TH"": ""\\nโมดูลการออกใบแจ้งหนี้อิเล็กทรอนิกส์\\n===========================\\n\\nอนุญาตให้สามารถส่งออกและนำเข้ารูปแบบได้: E-FFF, UBL Bis 3, EHF3, NLCIUS, Factur-X (CII), XRechnung (UBL)\\nเมื่อสร้าง PDF บนใบแจ้งหนี้ ไฟล์ PDF จะถูกฝังอยู่ภายใน xml สำหรับทุกรูปแบบ UBL นี้จะช่วยให้ผู้รับสามารถเรียกดูไฟล์ PDF ได้เฉพาะไฟล์ xml เท่านั้น โปรดทราบว่า **EHF3 ได้รับการนำไปใช้ใน UBL Bis 3 อย่างสมบูรณ์** (`อ้างอิง\\n<https://anskaffelser.dev/postaward/g3/spec/current/billing-3.0/norway/#_implementation>`_).\\n\\nรูปแบบสามารถเลือกได้จากสมุดรายวัน (สมุดรายวัน > การตั้งค่าขั้นสูง) ที่เชื่อมโยงกับใบแจ้งหนี้\\n\\nโปรดทราบว่า E-FFF, NLCIUS และ XRechnung (UBL) สามารถใช้ได้เฉพาะสำหรับบริษัทในประเทศเบลเยียม ดัตช์ และเยอรมันตามลำดับ UBL Bis 3 สามารถใช้ได้เฉพาะสำหรับบริษัทที่ประเทศอยู่ใน `รายการ EAS\\n<https://docs.peppol.eu/poacc/billing/3.0/codelist/eas/>`_.\\n\\nโปรดทราบเพิ่มเติมว่า เพื่อให้ Chorus Pro ตรวจจับรูปแบบ \\""PDF/A-3 (Factur-X)\\"" โดยอัตโนมัติ คุณต้องเปิดใช้งานตัวเลือก \\""Factur-X PDF/A-3\\"" ในสมุดรายวัน ตัวเลือกนี้ยังจะตรวจสอบ xml ตามกฎ Factur-X และ Chorus\\nPro และแสดงข้อผิดพลาด\\n""}",f,f,f,LGPL-3,100,t,f,\N,\N,,\N,,Invoice report generated by Odoo,* INHERIT account.tax.form.inherit (form)\n* INHERIT external_layout_with_context (qweb)\n* INHERIT report_invoice_document (qweb)\n* INHERIT res.partner.property.form.inherit (form)\naccount_invoice_address_facturx_export_22 (qweb)\naccount_invoice_facturx_export_22 (qweb)\naccount_invoice_line_facturx_export_22 (qweb)\naccount_invoice_partner_facturx_export_22 (qweb)\naccount_invoice_pdfa_3_facturx_metadata (qweb)\naccount_invoices_generated_by_odoo (qweb),official,\N
108,\N,\N,2026-06-27 07:20:16.13352,1,,"{""en_US"": """"}",auth_password_policy_signup,Odoo S.A.,/base/static/description/icon.png,uninstalled,\N,"{""en_US"": ""Password Policy support for Signup"", ""th_TH"": ""การสนับสนุนนโยบายรหัสผ่านสำหรับการสมัคร""}",20,"{""en_US"": """"}",f,f,f,LGPL-3,100,t,f,\N,\N,\N,\N,,,,official,\N
186,\N,\N,2026-03-29 06:23:16.4795,1,http://www.devintellecs.com,"{""en_US"": ""Dynamic Cheque report | Print Bank check | print Dynamic Cheque | print account check | print Dynamic back Cheque | easy to create check formats, create employee payslip check | print check, dynamic check print, cheque print, us cheque print, cheque format bank""}",dev_print_cheque,DevIntelle Consulting Service Pvt.Ltd,/base/static/description/icon.png,installed,19.0.1.3,"{""en_US"": ""Dynamic Print Cheque - Check writing""}",26,"{""en_US"": ""\\n App will  configure and print cheque/check Dynamically for any bank with different Cheque format.\\n\\nCheque print, check print, check writing, bank check print, check dynamic, bank cheque, cheque dynamic, cheque printing, bank cheque, dynamic print cheque, cheque payment, payment check, \\n\\n    Dynamic print cheque\\n    How can we create dynamic cheque\\n    Dynamic cheque print\\n    Accounting voucher\\n    Cheque acconting voucher\\n    Odoo dynamic cheque\\n    Odoo dynamic cheque print\\n    Print dynamic cheque\\n    Odoo11 dynamic cheque print\\n    Print cheque\\n    Print cheque odoo\\n    Dynamically print cheque\\n    Dynamic cheque\\n    Cheque accounting voucher\\n    Accounting cheque voucher\\n    Dynamic bank cheque\\n    Dynamic bank cheque print in odoo\\n    Odoo dynamic cheque\\n    Odoo dynamic bank cheque\\n    Odoo dynamic bank cheque print\\n    cheque Printer\\n    check print\\n    dynamic check print\\n    check printing configuration\\n    cheque printing\\n    payment cheque print\\n    cheque payment print \\nDynamic print cheque\\n\\nHow can we create dynamic cheque\\n\\nDynamic cheque print\\n\\nAccounting voucher\\n\\nCheque acconting voucher\\n\\nOdoo dynamic cheque\\n\\nOdoo dynamic cheque print\\n\\nPrint dynamic cheque\\n\\nOdoo11 dynamic cheque print\\n\\nPrint cheque\\n\\nPrint cheque odoo\\n\\nDynamically print cheque\\n\\nDynamic cheque\\n\\nCheque accounting voucher\\n\\nAccounting cheque voucher\\n\\nDynamic bank cheque\\n\\nDynamic bank cheque print in odoo\\n\\nOdoo dynamic cheque\\n\\nOdoo dynamic bank cheque\\n\\nOdoo dynamic bank cheque print\\n\\nOdoo Dynamic Print Cheque\\n\\nManage Dynamic Print Cheque\\n\\nOdoo Manage Dynamic Print Cheque\\n\\nOdoo How can we create dynamic cheque\\n\\nOdoo Dynamic cheque print\\n\\nOdoo Accounting voucher\\n\\nOdoo Cheque acconting voucher\\n\\nOdoo Print dynamic cheque\\n\\nManage Odoo11 dynamic cheque print\\n\\nOdoo Print cheque\\n\\nManage Print cheque odoo\\n\\nOdoo Dynamically print cheque\\n\\nOdoo Dynamic cheque\\n\\nOdoo Cheque accounting voucher\\n\\nOdoo Accounting cheque voucher\\n\\nOdoo Dynamic bank cheque\\n\\nManage Dynamic bank cheque print in odoo\\n\\nCheque Writing\\n\\nOdoo Cheque Writing\\n\\nConfigure and print cheque/check for any bank with different Cheque format\\n\\nOdoo Configure and print cheque/check for any bank with different Cheque format\\n\\nAdjust all possible values like customer name, date, amount, amount in words, signature based on your needs/Format.\\n\\nOdoo Adjust all possible values like customer name, date, amount, amount in words, signature based on your needs/Format.\\n\\nPrint bold format values.\\n\\nOdoo Print bold format values.\\n\\nAdjust font size.\\n\\nOdoo Adjust font size.\\n\\nAdjust font color.\\n\\nOdoo Adjust font color.\\n\\nPrint Free text on bottom.\\n\\nOdoo Print Free text on bottom.\\n\\nPrint Stub Lines with cheque no in below half page.\\n\\nOdoo Print Stub Lines with cheque no in below half page.\\n\\nPrint journal entires with transatation in below half page.\\n\\nOdoo Print journal entires with transatation in below half page.\\n\\nDynamic Print Check\\n\\nOdoo Dynamic Print Check\\n\\nManage Dynamic Print check\\n\\nOdoo Manage Dynamic Print Check \\n\\n""}",t,f,f,LGPL-3,1,f,f,\N,\N,https://youtu.be/usddBBEk1Tg,\N,Invoicing/Configuration/Cheque Format,Print Cheque,* INHERIT account.voucher.formate.form.view (form)\n* INHERIT view.account.move.print.cheque.form (form)\ncheque.setting.form (form)\ncheque.setting.list (list)\nreport_print_cheque (qweb)\nreport_print_cheque_template (qweb)\nview.dev.print.cheque.wizard.form (form),official,\N
