candidate_id	module	source_sub_batch	source_gap_id	source_gap_type	severity	source_statement	routing_disposition	mapped_frozen_qids	mapping_rationale	source_neutral_authoring_input	answer_requirement	evidence_requirement	origin	status	coverage_eligible	reconciliation_eligible	frozen_bank_mutation
GMVQ-PREMODEL-BASE-001	base	COMM-G01-B101-S1	GAP-B101S1-001	SCHEME-UNDEFINED	MEDIUM	The L1-L12 level scale required by the base prompt is not defined in any bound package read (REV001 control, REV003, D-001, BDR); every function's L1-L12 cell is UNKNOWN	CONTROL-REMEDIATION	NONE	Undefined research-depth scale is a control-plane defect, not a module answer.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: The L1-L12 level scale required by the base prompt is not defined in any bound package read (REV001 control, REV003, D-001, BDR); every function's L1-L12 cell is UNKNOWN?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Controller to publish the L1-L12 definition	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-002	base	COMM-G01-B101-S1	GAP-B101S1-002	OUT-OF-SUB-BATCH	HIGH	Create/read/update/delete rights and record rules for parties, tags, industries, banks, bank accounts, countries, groups and subdivisions are defined in another sub-batch (access and security); security cells marked UNKNOWN until joined	MAP-TO-FROZEN-QIDS	STD-Q02;STD-Q28;STD-Q29;STD-Q36;STD-Q37;G01-BASE-Q004;G01-BASE-Q005;G01-BASE-Q022	Frozen questions already test role reachability, record access, traversal, search leakage, and alternate paths.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Create/read/update/delete rights and record rules for parties, tags, industries, banks, bank accounts, countries, groups and subdivisions are defined in another sub-batch (access and security); security cells marked UNKNOWN until joined?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of the access/identity sub-batch and cross-join	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-003	base	COMM-G01-B101-S1	GAP-B101S1-003	TREE-IDENTITY	MEDIUM	Module-manifest part of the tree identity was not independently recomputed by A1: the approved single safe command verifies the 18-unit file set and denominator hash only (PASS at start and end); no other command permitted	CONTROL-REMEDIATION	NONE	Tree identity recomputation is evidence integrity control.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Module-manifest part of the tree identity was not independently recomputed by A1: the approved single safe command verifies the 18-unit file set and denominator hash only (PASS at start and end); no other command permitted?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Controller	PRE-MODEL-RESEARCH	CONTROL-CORRECTION-TRACK	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-004	base	COMM-G01-B101-S1	GAP-B101S1-004	RUNTIME-REQUIRED	MEDIUM	Configuration, runtime, cross-module and end-to-end layers not exercised; runtime evidence shows only that the module is installed	PROOF-LAYER-FOLLOWUP	STD-Q03;STD-Q04;STD-Q54	The gap requires configuration/runtime/cross-module/E2E evidence rather than a new question bank.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Configuration, runtime, cross-module and end-to-end layers not exercised; runtime evidence shows only that the module is installed?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Runtime exercise in a disposable environment under a separate authority	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-005	base	COMM-G01-B101-S1	GAP-B101S1-005	STATUTORY	HIGH	Thai party fiscal identity (13-digit taxpayer number, head-office/branch number shown on tax invoices, juristic vs natural person) is absent from the reference; the reference mirrors one tax identifier across a hierarchy with no branch dimension	MAP-TO-FROZEN-QIDS	STD-Q04;STD-Q05;STD-Q23;STD-Q27;G01-BASE-Q001;G01-BASE-Q013	Fiscal identity, branch scope, mandatory data, and shared-reference governance are covered by frozen questions; Thai legal evidence remains required.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Thai party fiscal identity (13-digit taxpayer number, head-office/branch number shown on tax invoices, juristic vs natural person) is absent from the reference; the reference mirrors one tax identifier across a hierarchy with no branch dimension?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Authoritative Thai Revenue Department source citation; SMEsPlus design decision	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-006	base	COMM-G01-B101-S1	GAP-B101S1-006	OUT-OF-SUB-BATCH	LOW	Data-load order and module declaration were not read (other sub-batch)	MAP-TO-FROZEN-QIDS	STD-Q03;STD-Q04;G01-BASE-Q029	Load order and declaration dependency are observable through entry routes, changed records, and prerequisite failure.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Data-load order and module declaration were not read (other sub-batch)?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	Study of module declaration in the platform sub-batch	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-007	base	COMM-G01-B101-S1	GAP-B101S1-007	REFERENCE-LIMITATION	MEDIUM	Import-time subdivision/country consistency check never detects a mismatch; inconsistent pairs are kept	MAP-TO-FROZEN-QIDS	STD-Q08;STD-Q54;G01-BASE-Q018;G01-BASE-Q019	Frozen import and path-equivalence questions cover bypassed consistency validation.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Import-time subdivision/country consistency check never detects a mismatch; inconsistent pairs are kept?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	None (observed); SMEsPlus must define a working rule	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-008	base	COMM-G01-B101-S1	GAP-B101S1-008	REFERENCE-LIMITATION	MEDIUM	During merge, one optional reference class (calendar) is redirected only for the last source party	MAP-TO-FROZEN-QIDS	STD-Q09;STD-Q20;STD-Q54;G01-BASE-Q015;G01-BASE-Q031	The incomplete redirection is a partial-effect and relationship-integrity failure.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: During merge, one optional reference class (calendar) is redirected only for the last source party?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	None (observed); SMEsPlus must redirect all	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-009	base	COMM-G01-B101-S1	GAP-B101S1-009	IRREVERSIBLE-CONTROL	HIGH	Merge is irreversible, deletes sources and drops conflicting records, needs no second approval, and leaves only a technical log line; no business audit record of warnings overridden or merges done	MAP-TO-FROZEN-QIDS	STD-Q09;STD-Q19;STD-Q20;STD-Q30;G01-BASE-Q016;G01-BASE-Q024	Frozen questions cover irreversibility, correction, audit, and durable side effects.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Merge is irreversible, deletes sources and drops conflicting records, needs no second approval, and leaves only a technical log line; no business audit record of warnings overridden or merges done?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	SMEsPlus decision on approval, audit trail and undo/compensation	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
GMVQ-PREMODEL-BASE-010	base	COMM-G01-B101-S1	GAP-B101S1-010	POSTING	HIGH	Merge re-points posted accounting records (and statutory documents) of sources to the survivor, changing their counterparty	MAP-TO-FROZEN-QIDS	STD-Q19;STD-Q20;STD-Q22;G01-BASE-Q007;G01-BASE-Q014;G01-BASE-Q015	Repointing posted/statutory history is tested as reversal/correction/report and historical semantic drift.	What business rule, control, failure behavior, and evidence are required to resolve this observed uncertainty: Merge re-points posted accounting records (and statutory documents) of sources to the survivor, changing their counterparty?	Answer under MODULE=base and the cited frozen QIDs; keep Source, Configuration, Runtime, Cross-Module and End-to-End proof states separate; use NOT_OBSERVED or NOT_APPLICABLE only with evidence-backed reason.	SMEsPlus accounting/tax decision; co-review with accounting group when studied	PRE-MODEL-RESEARCH	DRAFT-GMVQ-CANDIDATE / PENDING-INDEPENDENT-REVIEW	NO	NO	PROHIBITED
