learning_id,class,identity,label,model,module,evidence_pointer,criticality,detail,research_status,register_coverage,open_question,material_delta
LI-INV-MENU-0001,MENU,delivery_iot.iot_cached_printers_action,Reset Linked Printers,,delivery_iot,delivery_iot/views/stock_menu_views.xml,STANDARD,"{""parent"": ""delivery_iot.iot_cached_printers_section"", ""action"": ""iot.action_iot_delete_linked_devices_menu"", ""groups"": null, ""sequence"": ""1"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0002,MENU,delivery_iot.iot_cached_printers_section,Reporting,,delivery_iot,delivery_iot/views/stock_menu_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": null, ""sequence"": ""50"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0003,MENU,l10n_cl_edi_stock.menu_sii_chile,Chilean SII,,l10n_cl_edi_stock,l10n_cl_edi_stock/views/menuitems.xml,STANDARD,"{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": null, ""sequence"": ""3"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0004,MENU,l10n_cl_edi_stock.menu_stock_l10n_cl_dte_caf,Cafs,l10n_cl.dte.caf,l10n_cl_edi_stock,l10n_cl_edi_stock/views/menuitems.xml,STANDARD,"{""parent"": ""l10n_cl_edi_stock.menu_sii_chile"", ""action"": ""l10n_cl_edi_stock.action_stock_l10n_cl_dte_caf"", ""groups"": null, ""sequence"": ""21"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0005,MENU,l10n_mx_edi_stock.menu_stock_config_settings_mx,Mexico,,l10n_mx_edi_stock,l10n_mx_edi_stock/views/l10n_mx_edi_customs_document_type_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": ""stock.group_stock_manager"", ""sequence"": ""100"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0006,MENU,l10n_mx_edi_stock.menu_stock_mx_customs_document_type,Custom Document Type,l10n_mx_edi.customs.document.type,l10n_mx_edi_stock,l10n_mx_edi_stock/views/l10n_mx_edi_customs_document_type_views.xml,STANDARD,"{""parent"": ""l10n_mx_edi_stock.menu_stock_config_settings_mx"", ""action"": ""l10n_mx_edi_stock.l10n_mx_edi_customs_document_type_action"", ""groups"": ""stock.group_stock_manager"", ""sequence"": null, ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0007,MENU,l10n_mx_edi_stock.menu_stock_mx_customs_regime,Customs Regime,l10n_mx_edi.customs.regime,l10n_mx_edi_stock,l10n_mx_edi_stock/views/l10n_mx_edi_customs_regime_views.xml,STANDARD,"{""parent"": ""l10n_mx_edi_stock.menu_stock_config_settings_mx"", ""action"": ""l10n_mx_edi_stock.l10n_mx_edi_customs_regime_action"", ""groups"": ""stock.group_stock_manager"", ""sequence"": null, ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0008,MENU,l10n_pe_edi_stock.menu_stock_config_settings_pe,Peru,,l10n_pe_edi_stock,l10n_pe_edi_stock/views/vehicle_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": ""stock.group_stock_manager"", ""sequence"": ""100"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0009,MENU,l10n_pe_edi_stock.menu_stock_pe_vehicles,Vehicles,l10n_pe_edi.vehicle,l10n_pe_edi_stock,l10n_pe_edi_stock/views/vehicle_views.xml,STANDARD,"{""parent"": ""l10n_pe_edi_stock.menu_stock_config_settings_pe"", ""action"": ""l10n_pe_edi_stock.l10n_pe_edi_vehicle_actions"", ""groups"": ""stock.group_stock_manager"", ""sequence"": null, ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0010,MENU,l10n_tr_nilvera_edispatch.menu_l10n_tr_nilvera,GİB e-Dispatch,,l10n_tr_nilvera_edispatch,l10n_tr_nilvera_edispatch/views/l10n_tr_nilvera_trailer_plate_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": null, ""sequence"": ""100"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0011,MENU,l10n_tr_nilvera_edispatch.menu_l10n_tr_nilvera_trailer_plate,GİB Plate Numbers,l10n_tr.nilvera.trailer.plate,l10n_tr_nilvera_edispatch,l10n_tr_nilvera_edispatch/views/l10n_tr_nilvera_trailer_plate_views.xml,STANDARD,"{""parent"": ""l10n_tr_nilvera_edispatch.menu_l10n_tr_nilvera"", ""action"": ""l10n_tr_nilvera_edispatch.action_l10n_tr_nilvera_trailer_plate"", ""groups"": null, ""sequence"": ""200"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0012,MENU,mrp.mrp_operation_picking,Manufacturings,mrp.production,mrp,mrp/views/stock_picking_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_transfers"", ""action"": ""mrp.action_picking_tree_mrp_operation"", ""groups"": ""stock.group_stock_manager,stock.group_stock_user"", ""sequence"": ""25"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0013,MENU,mrp_mps.stock_mrp_mps_report_menu,Master Production Schedule,mrp.production.schedule,mrp_mps,mrp_mps/views/mrp_mps_menu_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_procurement"", ""action"": ""mrp_mps.action_mrp_mps"", ""groups"": ""mrp.group_mrp_manager"", ""sequence"": ""20"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0014,MENU,stock.in_picking,Receipts,,stock,stock/views/stock_picking_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_transfers"", ""action"": ""stock.method_action_picking_tree_incoming"", ""groups"": ""stock.group_stock_manager,stock.group_stock_user"", ""sequence"": ""20"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0015,MENU,stock.int_picking,Internal,,stock,stock/views/stock_picking_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_transfers"", ""action"": ""stock.method_action_picking_tree_internal"", ""groups"": ""stock.group_stock_multi_locations"", ""sequence"": ""22"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0016,MENU,stock.menu_action_inventory_tree,Physical Inventory,,stock,stock/views/stock_quant_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_adjustments"", ""action"": ""stock.action_view_inventory_tree"", ""groups"": null, ""sequence"": ""10"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0017,MENU,stock.menu_action_location_form,,stock.location,stock,stock/views/stock_location_views.xml,CRITICAL,"{""parent"": ""stock.menu_warehouse_config"", ""action"": ""stock.action_location_form"", ""groups"": ""stock.group_stock_multi_locations"", ""sequence"": ""3"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0018,MENU,stock.menu_action_production_lot_form,,stock.lot,stock,stock/views/stock_lot_views.xml,CRITICAL,"{""parent"": ""stock.menu_stock_inventory_control"", ""action"": ""stock.action_production_lot_form"", ""groups"": ""stock.group_production_lot"", ""sequence"": ""101"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0019,MENU,stock.menu_action_rules_form,,stock.rule,stock,stock/views/stock_rule_views.xml,CRITICAL,"{""parent"": ""stock.menu_warehouse_config"", ""action"": ""stock.action_rules_form"", ""groups"": ""stock.group_adv_location"", ""sequence"": ""5"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0020,MENU,stock.menu_action_warehouse_form,,stock.warehouse,stock,stock/views/stock_warehouse_views.xml,CRITICAL,"{""parent"": ""stock.menu_warehouse_config"", ""action"": ""stock.action_warehouse_form"", ""groups"": null, ""sequence"": ""1"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0021,MENU,stock.menu_attribute_action,,product.attribute,stock,stock/views/stock_menu_views.xml,STANDARD,"{""parent"": ""stock.menu_product_in_config_stock"", ""action"": ""product.attribute_action"", ""groups"": ""product.group_product_variant"", ""sequence"": ""4"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0022,MENU,stock.menu_delivery,Delivery,,stock,stock/views/stock_package_type_view.xml,STANDARD,"{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": ""stock.group_stock_manager"", ""sequence"": ""50"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0023,MENU,stock.menu_package,Packages,stock.package,stock,stock/views/stock_package_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_inventory_control"", ""action"": ""stock.action_package_view"", ""groups"": ""stock.group_tracking_lot"", ""sequence"": ""102"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0024,MENU,stock.menu_packaging_types,Package Types,stock.package.type,stock,stock/views/stock_package_type_view.xml,STANDARD,"{""parent"": ""stock.menu_delivery"", ""action"": ""stock.action_package_type_view"", ""groups"": ""stock.group_tracking_lot"", ""sequence"": null, ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0025,MENU,stock.menu_pickingtype,Operations Types,stock.picking.type,stock,stock/views/stock_picking_type_views.xml,CRITICAL,"{""parent"": ""stock.menu_warehouse_config"", ""action"": ""stock.action_picking_type_list"", ""groups"": null, ""sequence"": ""2"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0026,MENU,stock.menu_procurement_compute,,,stock,stock/views/stock_rule_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_warehouse_mgmt"", ""action"": ""stock.ir_cron_scheduler_action_ir_actions_server"", ""groups"": ""base.group_no_one"", ""sequence"": ""135"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0027,MENU,stock.menu_product_category_config_stock,,product.category,stock,stock/views/stock_menu_views.xml,STANDARD,"{""parent"": ""stock.menu_product_in_config_stock"", ""action"": ""product.product_category_action_form"", ""groups"": null, ""sequence"": ""2"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0028,MENU,stock.menu_product_in_config_stock,Products,,stock,stock/views/stock_menu_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_config_settings"", ""action"": null, ""groups"": null, ""sequence"": ""4"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0029,MENU,stock.menu_product_stock,Stock,product.product,stock,stock/views/product_views.xml,STANDARD,"{""parent"": ""stock.menu_warehouse_report"", ""action"": ""stock.action_product_stock_view"", ""groups"": null, ""sequence"": ""5"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0030,MENU,stock.menu_product_variant_config_stock,Products,product.template,stock,stock/views/product_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_inventory_control"", ""action"": ""stock.product_template_action_product"", ""groups"": null, ""sequence"": ""1"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0031,MENU,stock.menu_putaway,Putaway Rules,stock.putaway.rule,stock,stock/views/product_strategy_views.xml,STANDARD,"{""parent"": ""stock.menu_warehouse_config"", ""action"": ""stock.action_putaway_tree"", ""groups"": ""stock.group_stock_multi_locations"", ""sequence"": ""8"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0032,MENU,stock.menu_reordering_rules_replenish,Replenishment,,stock,stock/views/stock_orderpoint_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_procurement"", ""action"": ""stock.action_replenishment"", ""groups"": ""stock.group_stock_manager"", ""sequence"": ""5"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0033,MENU,stock.menu_routes_config,Routes,stock.route,stock,stock/views/stock_location_views.xml,CRITICAL,"{""parent"": ""stock.menu_warehouse_config"", ""action"": ""stock.action_routes_form"", ""groups"": ""stock.group_adv_location"", ""sequence"": ""4"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0034,MENU,stock.menu_stock_adjustments,Adjustments,,stock,stock/views/stock_menu_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_warehouse_mgmt"", ""action"": null, ""groups"": null, ""sequence"": ""3"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0035,MENU,stock.menu_stock_config_settings,Configuration,,stock,stock/views/res_config_settings_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_root"", ""action"": null, ""groups"": ""group_stock_manager"", ""sequence"": ""100"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
LI-INV-MENU-0036,MENU,stock.menu_stock_general_settings,Settings,res.config.settings,stock,stock/views/res_config_settings_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_config_settings"", ""action"": ""stock.action_stock_config_settings"", ""groups"": ""base.group_system"", ""sequence"": ""0"", ""kind"": ""ACTION-BEARING""}",DISCOVERED,,,
LI-INV-MENU-0037,MENU,stock.menu_stock_inventory_control,Products,,stock,stock/views/stock_menu_views.xml,STANDARD,"{""parent"": ""stock.menu_stock_root"", ""action"": null, ""groups"": null, ""sequence"": ""4"", ""kind"": ""CONTAINER""}",DISCOVERED,,,
