exception_id,phase,domain_id,exception_class,description,source_artifact,source_path,evidence_location,detected_timestamp,severity,owner,reviewer,verification_status,required_resolution,due_date,status,gate_impact,boss_decision_required,notes
DR-GAP-001,DR1,SOURCE,EVIDENCE_IDENTITY,Current source archives lack independently verified SHA-256 and member inventory,01_ACCOUNT(1).zip;02_OTHER(1).zip;addons_extra(1).zip,/mnt/data/,Current conversation uploads,2026-08-28,Critical,Source Evidence Owner,ChatGPT L99,HOLD,Generate SHA-256 and archive member manifest,TBD,OPEN,BLOCKS_CURRENT_SOURCE_CERTIFICATION,No,Received does not equal verified
DR-GAP-002,DR1,SOURCE,LINEAGE,Historical 1436 to current 1502 source records delta is not reconciled,Module_Inventory.csv,03_Source_Code/,Historical package + Session baseline,2026-08-28,Critical,Source Research Lead,ChatGPT L99,HOLD,Produce 66-row delta register,TBD,OPEN,BLOCKS_ALL_MODULE_COVERAGE,No,Do not infer additions or duplicates
DR-GAP-003,DR1,GOVERNANCE,CLASSIFICATION,Current CLASS-A/B/C/D module-level register is unavailable,Session working baseline,Current Session,Current Session,2026-08-28,Critical,Governance / License Reviewer,ChatGPT L99,HOLD,Provide classified manifest and evidence,TBD,OPEN,BLOCKS_LICENSE_TREATMENT,No,Counts alone are insufficient
DR-GAP-004,DR2,CLEAN_ROOM,QUARANTINE,CLASS-D 12 modules lack inspectable names and source treatment ruling,Session working baseline,Current Session,Current Session,2026-08-28,Critical,Boss / Governance,ChatGPT L99,HOLD,Maintain quarantine or issue item-specific ruling,TBD,OPEN,BLOCKS_CLASS_D_RESEARCH,Yes,Boss ruling required only to open CLASS-D
DR-GAP-005,DR3,DATABASE,EVIDENCE_IDENTITY,Current dump identity version timestamp and SHA-256 are not bound to outputs,iTEST02 dump / current DB evidence,04_Database/,Historical package,2026-08-28,Critical,Database Evidence Owner,ChatGPT L99,HOLD,Provide current dump hash and extraction evidence,TBD,OPEN,BLOCKS_CURRENT_DB_CERTIFICATION,No,Historical evidence does not prove current identity
DR-GAP-006,DR3,DATABASE,DELTA,Historical 13940 to current 13942 column delta is unresolved,Dump_Column_Inventory.csv,04_Database/,Historical package + Session baseline,2026-08-28,High,Database Research Lead,ChatGPT L99,HOLD,Provide current column register and two-column delta,TBD,OPEN,BLOCKS_CURRENT_SCHEMA_RECONCILIATION,No,Matching table counts do not prove same version
DR-GAP-007,DR3,DATABASE,EXTRACTION_LIMITATION,Constraint FK and index evidence used dump-string fallback,Dump_Constraint_Inventory.csv;Foreign_Key_Relationship_Edges.csv;Dump_Index_Inventory.csv,04_Database/,Historical Phase B package,2026-08-28,High,Database Research Lead,ChatGPT L99,PASS_WITH_LIMITATION,Validate with pg_restore schema.sql or restored metadata,TBD,OPEN,LIMITS_SCHEMA_ASSURANCE,No,Historical gate documented limitation
DR-GAP-008,DR4,MAPPING,EVIDENCE_IDENTITY,Current 27682 mapping distribution lacks inspectable register SHA timestamp and lineage,Field_Level_Source_to_Dump_Mapping.csv,05_Mapping/,Historical mapping pack + Session baseline,2026-08-28,Critical,Mapping Lead,ChatGPT L99,HOLD,Provide current row-level register and hash,TBD,OPEN,BLOCKS_CURRENT_MAPPING_CERTIFICATION,No,Total alone is insufficient
DR-GAP-009,DR4,MAPPING,SEMANTIC_CLASSIFICATION,Unmatched and not-found rows are not normalized into business-safe statuses,Field_Level_Source_to_Dump_Mapping.csv,05_Mapping/,Historical mapping pack,2026-08-28,Critical,Mapping Lead + Business Owners,ChatGPT L99,HOLD,Classify rows into verified/non-stored/relation/generated/source-only/db-only/ambiguous,TBD,OPEN,BLOCKS_MIGRATION_DESIGN,No,Unmatched is not automatically a defect
DR-GAP-010,DR4,DATABASE,DB_ONLY,No reverse DB-only business-fact inventory is evidenced,Database inventories,04_Database/,Historical package,2026-08-28,High,Database / Mapping Lead,ChatGPT L99,HOLD,Identify DB facts with no source-field counterpart,TBD,OPEN,RISK_OF_FACT_OMISSION,No,Source-first mapping can miss DB-only facts
