stakeholder,role_in_state04,relationship_to_design_teams,relationship_to_team11,authority_boundary,status
Boss,Sole Final Approver,"Receives approved design candidates and residual risks","Receives direct Audit Veto findings; may accept risk or override only by written decision","Final approve/return/hold; no AI may replace Boss",ACTIVE
Executive Secretary / Liza,Governance coordination and executive synthesis,"Maintains operating-model coherence; prepares Boss-ready summaries","Routes but cannot alter Team11 findings","No final approval; no self-review of authored design",ACTIVE
SMEsPlus PMO,Planning/evidence tracking/support only,"Tracks owners deliverables due dates Jira and evidence","Registers Team11 evidence only","Cannot change Audit Veto verdict or final-approve",ACTIVE
Board01 Product Governance,Product intent/scope and AI capability accountability,"Primary/consulted for Team10 and product requirements","Subject to Team11 challenge on design outputs","Board accountability does not replace Boss approval",ACTIVE
Board02 Architecture Review,Architecture conformance/NFR oversight,"Primary/consulted for Team09 and cross-design conformance","Provides evidence/constraints; cannot direct Team11 verdict","Architecture review separate from final approval",ACTIVE
Board03 Platform Foundation,SaaS/platform/integration accountability,"Primary for Team02/04; consulted Team09/10","Subject to Team11.2/11.4/11.9/11.10 challenge","No final approval",ACTIVE
Board04 Business Modules,Functional/domain/reporting/localization business accountability,"Primary for Team01/06/07","Subject to Team11.1/11.6/11.7 challenge","No final approval",ACTIVE
Board05 Approval & Control,Security/approval/audit/compliance-control accountability,"Primary Team05; consulted Team07","Subject to Team11.5/11.7 challenge","No final approval",ACTIVE
Board06 Data & Canonical Model,Canonical data/database/migration accountability,"Primary Team03/08; co-accountable Team06 data semantics","Subject to Team11.3/11.6/11.8 challenge","No final approval",ACTIVE
Board07 Engineering Delivery,Buildability consultation / downstream implementation owner,"Consulted before handoff; receives Boss-approved design only","No control over Team11 findings","Cannot start implementation without Build Gate",HOLD_FOR_BUILD
Board08 Infrastructure & DevOps,Operability/infrastructure consultation,"Consulted Team09 and platform-operability impacts","Provides evidence to Team11.9; cannot alter verdict","No production authority",ACTIVE_CONSULTED
Board09 Compliance & Localization Review,Independent/consulted compliance perspective where applicable,"Supports Team07 evidence and review","May provide independent evidence to Team11.7","Does not replace Team11 or Boss",ACTIVE_CONSULTED
Team A1/A2 Deep Research,Upstream evidence producer,"Provides verified research evidence through controlled handoff","Team11 may challenge evidence sufficiency but not use restricted source as normal design authority","Does not author final STATE04 design",ACTIVE_UPSTREAM
Team B Analysis/Transformation,Upstream candidate design-input producer,"Produces sanitized semantics/domain rules/candidate inputs","Cannot self-close Team11 findings","Output is not approved STATE04 design",ACTIVE_UPSTREAM
Figma / UX STATE05,Downstream interaction design,"Consumes Boss-approved functional/design baseline; may send usability constraints back through change control","Not a substitute for Team11 design assurance","No silent requirement changes",DOWNSTREAM_HOLD
Team C / Claude Code Development,Downstream implementation,"Consumes Boss-approved design only","Cannot bypass Team11/Boss Gate","No coding until Build authorization",DOWNSTREAM_HOLD
Team D Independent QA / Clean-room / Compliance Audit,Post-implementation independent QA/audit,"Verifies implementation against approved baseline","Separate from Team11; does not replace STATE04 Audit Veto","No final approval",DOWNSTREAM_HOLD
EXPERT IBPV,Existing independent business process/design verification capability,"Mapped as controlled Team11.1 / cross-domain process capability","Reports directly to Boss; independence preserved","May challenge/block; cannot final-approve",ACTIVE
EXPERT IESA,Downstream ERP/SaaS system assurance,"Consumes approved design and implementation/test evidence later","Separate from Team11 to preserve SoD","Pre-production assurance only; Boss final",DOWNSTREAM
EXPERT IDTM,Downstream deep test matrix/system verification,"Tests implemented system later","Separate from Team11 to preserve SoD","No production approval",DOWNSTREAM
Repository Owner,Repository/document registry control,"Ensures controlled artifacts and evidence paths","Preserves Team11 evidence; cannot alter finding","Cannot bypass Boss-approved gate",ACTIVE
