Evidence ID,Source Module,Manifest Name,Manifest Category,Version,Ownership Decision,Author Evidence,License Evidence,Ownership Evidence Status,Business Group,Function Candidate (Neutral),Function Role,Thailand Relevance,Declared Dependencies,Missing Dependencies,Database Evidence (Dump Tables),Duplicate Status,Functional Overlap Candidates (Baseline),Clean Room Status,Status
PS04-EXT-0001,app_icon_hide,SMEsPlus Hide Mobile Icon,Tools,18.0.1.1.0,COMPANY-AUTHORED SMEsPlus SOURCE - Clean Room Functional Learning reference (Boss decision STEP040101 2026-07-15),SMEsPlus,LGPL-3,CONSISTENT-COMPANY-AUTHORED,BG-01,User interface icon visibility control,OPTIONAL,GENERAL,base,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0002,auto_database_backup,"Automatic Database Backup To Local Server, Remote Server,Google Drive, Dropbox, Onedrive, Nextcloud and Amazon S3 Odoo18",Extra Tools,19.0.1.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Cybrosys Techno Solutions,LGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-01,Scheduled database backup administration,TECHNICAL-DEPENDENCY,GENERAL,base|mail,none,db_backup_configure,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0003,base_location,Location management (aka Better ZIP),,19.0.1.0.3,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Camptocamp,ACYSOS S.L.,Alejandro Santana,Tecnativa,AdaptiveCity,Odoo Community A",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-05,Hierarchical geographic location master,SUPPORTING-FUNCTION,GENERAL,base_address_extended|contacts|hr,none,res_city;res_city_zip,NO-NAME-DUPLICATE,base_address_extended|base_geolocalize,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0004,base_location_geonames_import,Base Location Geonames Import,Partner Management,19.0.0.0.2,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Akretion,Agile Business Group,Tecnativa,AdaptiveCity,Odoo Community Association ",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-05,Geographic data import from public dataset,INTEGRATION-FUNCTION,GENERAL,base_location,none,not confirmed at table level,NO-NAME-DUPLICATE,base_address_extended|base_geolocalize,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0005,bi_print_journal_entries,Print Journal Entries Report,Account,1.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),BrowseInfo,not declared,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-03,Journal entry document printing,REPORTING-FUNCTION,GENERAL,account|base,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0006,bm_thai_rd_vat_company_search,Thailand RD VAT Company,Accounting/Localization/Master Data,19.0.1.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Bizmate,OPL-1,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai Revenue Department taxpayer/VAT registry lookup,INTEGRATION-FUNCTION,HIGH,base,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0007,contact_reference_sequence,19_contact_referece_sequence,,19.0.1.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),Yin Htay,OPL-1,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-05,Contact reference numbering,SUPPORTING-FUNCTION,GENERAL,base|contacts|hr,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0008,convert_amount_text_to_thai,Thai Localization - Convert Amount Text to Thai,Localization,19.0.1.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),"Ecosoft, Odoo Community Association (OCA)",AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-02,Thai-language amount text conversion,SUPPORTING-FUNCTION,HIGH,base,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0009,courier_type,Courier Type,Technical,19.0.1.0.0,COMPANY-AUTHORED SMEsPlus SOURCE - Clean Room Functional Learning reference (Boss decision STEP040101 2026-07-15),SMEsPlus,LGPL-3,CONSISTENT-COMPANY-AUTHORED,BG-09,Courier/carrier type classification,SUPPORTING-FUNCTION,GENERAL,purchase|sale|sale_stock|stock,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
PS04-EXT-0010,cr_effective_date_entries,Effective Date Entries,Extra Tools,19.0.0.0,LAWFULLY ACQUIRED THIRD-PARTY REFERENCE EVIDENCE - copyright remains with author; authorized for Clean Room Functional Learning only (Boss decision STEP040101 2026-07-15),SuitePark Info Tech,AGPL-3,THIRD-PARTY-ORIGIN-EVIDENCE / LAWFULLY-ACQUIRED-REFERENCE (GAP-007 RESOLVED FOR FUNCTIONAL LEARNING); COPYRIGHT/LICENSE CONDITIONS REMAIN APPLICABLE,BG-03,Effective-date control for accounting entries,SUPPORTING-FUNCTION,GENERAL,account|purchase|sale|stock,none,not confirmed at table level,NO-NAME-DUPLICATE,none identified,CLEAN - manifest metadata only,AUTHORIZED-FOR-CLEAN-ROOM-FUNCTIONAL-LEARNING; CONTROLLED-DELTA-INTAKE-PENDING
