Wave,Module_or_Capability,Capability_Type,Target_Scope_Status,Learning_Priority,Upstream_Dependency,Shared_Domain_Dependency,Accounting_Dependency,SaaS_Dependency,Thailand_Localization_Dependency,Learning_Gate,Design_Freeze_Gate,Evidence_Location,Owner,Reviewer,Verification_Status,Gate_Impact,Notes_Unknowns
0,Tenant / Organization / Company / Branch,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,None,Company/Organization,None,MANDATORY,Thailand company/branch semantics,ML-W0-G1,SaaS Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks all module design freeze,Every module must resolve tenant and company context
0,IAM / User / Role / Permission,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant/Organization,Identity,None,MANDATORY,Thai privacy/compliance context where applicable,ML-W0-G1,SaaS Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks all module design freeze,Authorization model must be cross-module
0,Subscription / Plan / Entitlement,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant/Organization,Entitlement,None,MANDATORY,None,ML-W0-G1,SaaS Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks commercial module availability,Platform entitlement is distinct from subscription commerce
0,Security Platform Controls,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant+IAM,Security,None,MANDATORY,PDPA/control evidence as applicable,ML-W0-G1,Security Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks all module design freeze,Cross-cutting security contract
0,Audit / Evidence / Traceability,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant+IAM,Audit,None,MANDATORY,Compliance evidence as applicable,ML-W0-G1,SaaS Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks controlled transactions,Immutable evidence requirements to reconcile with accounting audit
0,Immutable Event / Event Bus / Outbox Semantics,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant+Audit,Event,None,MANDATORY,None,ML-W0-G1,Event Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks integration event freeze,Must stay vendor-neutral
0,Workflow / Approval Engine,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,IAM+Audit,Workflow/Approval,Indirect,MANDATORY,Thai business controls as applicable,ML-W0-G1,Workflow Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks approval-enabled modules,Engine must remain neutral to business module
0,Notification Service,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,IAM+Event,Notification,None,MANDATORY,Language/locale support,ML-W0-G1,SaaS Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks standardized notification behavior,Email/in-app/webhook channels TBD
0,Document / Attachment Platform Service,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant+IAM+Security,Document,None,MANDATORY,Retention/privacy as applicable,ML-W0-G1,Data Governance Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks document-producing modules,Platform storage service distinct from DMS business app
0,API / Integration / Webhook Framework,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant+IAM+Security,Integration,None,MANDATORY,None,ML-W0-G1,API Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks external integration freeze,Public API later consumes same governance
0,Data Governance / Privacy / Compliance,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant+Security,Data Governance,None,MANDATORY,PDPA and Thai legal evidence where claimed,ML-W0-G1,Data Governance Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks data model freeze,Statutory claims require primary evidence
0,Localization / Locale / Language / Timezone,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant,Localization,Indirect,MANDATORY,Thailand localization primary,ML-W0-G1,Localization Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks Thailand-ready UX/reporting,Country-specific business logic must stay controlled
0,Observability / Logging / Metrics / Tracing,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Platform runtime,Observability,None,MANDATORY,None,ML-W0-G1,Observability Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks operational readiness,NFR metrics TBD
0,Platform Configuration / Feature Controls,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant+Entitlement,Configuration,None,MANDATORY,None,ML-W0-G1,SaaS Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks configurable module behavior,Feature flag vs entitlement semantics must be separated
0,Usage Metering / Quota / Limit Controls,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Entitlement,Metering,Indirect,MANDATORY,None,ML-W0-G1,Subscription Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks usage-based plans,Exact billing coupling TBD
0,Background Job / Scheduler Service,Platform Foundation,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P0,Tenant+Observability,Scheduler,None,MANDATORY,Timezone/local calendar where applicable,ML-W0-G1,SaaS Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks recurring automation,Multi-tenant isolation required
1,Party / Customer / Supplier / Contact,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Tenant+IAM,Party,Indirect,MANDATORY,Thai tax ID/address/branch evidence,ML-W1-G1,Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks Sales/Purchase/CRM/AR/AP,Canonical Party must prevent module-specific duplicates
1,Product / Service,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Tenant,Product,Indirect,MANDATORY,Thailand tax/product classification where applicable,ML-W1-G1,Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks Sales/Purchase/Inventory/MRP/POS,Canonical Product domain
1,Product Category / Classification,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Product,Product,Indirect,MANDATORY,Thailand reporting/tax where applicable,ML-W1-G1,Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks product governance,Must support multi-company rules
1,UOM,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Product,UOM,Indirect,MANDATORY,Thailand units where applicable,ML-W1-G1,Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks quantity transactions,Conversion semantics TBD
1,Pricing / Pricelist,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Product+Currency,Pricing,Indirect,MANDATORY,Thailand tax-inclusive/exclusive evidence where needed,ML-W1-G1,Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks Sales/Purchase/POS/eCommerce,Discount/promotion boundary TBD
1,Tax Master,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Party+Product+Company,Tax,DIRECT,MANDATORY,Thailand VAT/WHT/CIT evidence required,ML-W1-G1,Thailand Tax Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks financial transaction freeze,Must not infer statutory rules
1,Payment Terms,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Party,Payment Terms,DIRECT,MANDATORY,Thailand commercial practice where applicable,ML-W1-G1,Shared Domain + COA dependent,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks AR/AP term logic,Schedule semantics TBD
1,Fiscal Calendar / Period Reference,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Company,Fiscal Calendar,DIRECT,MANDATORY,Thailand fiscal/tax periods evidence,ML-W1-G1,Accounting Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks Accounting/Tax/Reporting,Must align with approved period semantics
1,Location / Warehouse Master,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Company,Location,Indirect,MANDATORY,Thailand address/branch context where applicable,ML-W1-G1,Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks Inventory/Logistics/MRP,Physical vs logical location semantics TBD
1,Currency / Exchange Rate,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Company,Currency,DIRECT,MANDATORY,Thailand FX/accounting evidence,ML-W1-G1,Accounting Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks foreign currency transactions,IAS21/Thai adoption evidence already partially studied
1,Dimension / Analytic Structure,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Company+Party+Product,Dimension,DIRECT,MANDATORY,Thailand reporting context where applicable,ML-W1-G1,Shared Domain + Accounting Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks channel/project/cost-center analysis,Prefer dimension over account proliferation
1,Shared Reference / Sequence / Numbering Data,Shared Business Domain,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P1,Tenant+Company,Reference Data,Indirect,MANDATORY,Thailand document numbering evidence where statutory,ML-W1-G1,Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks standardized numbering,Account code is not canonical identity
2,Sales,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P2,Party+Product+Pricing+Tax+Inventory,Party/Product/Pricing,DIRECT,MANDATORY,Thailand VAT/WHT/document rules,ML-W2-G1,SaaS + Shared Domains + COA relevant gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Priority learning module,Final posting design waits for accounting contract
2,Purchase,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P2,Party+Product+Pricing+Tax+Inventory,Party/Product/Tax,DIRECT,MANDATORY,Thailand VAT/WHT/document rules,ML-W2-G1,SaaS + Shared Domains + COA relevant gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Priority learning module,Final AP/tax posting waits for accounting contract
2,Inventory / Warehouse,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P2,Product+UOM+Location+Company,Product/UOM/Location,DIRECT,MANDATORY,Thailand valuation/reporting where applicable,ML-W2-G1,SaaS + Shared Domains + COA valuation gate,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Priority learning module,Valuation design waits for COA contract
2,Accounting Core / COA,Business Module,CURRENT DOMAIN - BOSS APPROVED CORE BLUEPRINT; COA CLOSURE OPEN,P2,Company+Currency+Tax+Fiscal+Dimension,Accounting,DIRECT,MANDATORY,Thailand primary scope,COA-G01 to COA-G08,Boss COA Freeze ERPPLUS-132,ERPPLUS-132 + GitHub DOMAIN_01 evidence,Team B/PMO chain,ChatGPT,IN PROGRESS UNDER SEPARATE GATES,Blocks financial-impact design freeze,Do not merge matrix status with COA gate status
3,Accounts Receivable (AR),Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,Sales+Party+Payment Terms+Accounting,Party/Payment,DIRECT,MANDATORY,Thailand tax/customer document rules,ML-W3-G1,COA-G08 + relevant Tax Gate,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks collections/aging freeze,Learning may start before COA freeze
3,Accounts Payable (AP),Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,Purchase+Party+Payment Terms+Accounting,Party/Payment,DIRECT,MANDATORY,Thailand WHT/VAT/vendor document rules,ML-W3-G1,COA-G08 + relevant Tax Gate,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks payment/aging freeze,Learning may start before COA freeze
3,Cash Management,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,Accounting+Payment,Currency/Dimesion,DIRECT,MANDATORY,Thailand cash controls where applicable,ML-W3-G1,COA-G08,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks cash ledger freeze,Cash vs bank boundaries TBD
3,Bank Management,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,Accounting+Payment+Integration,Currency/Dimesion,DIRECT,MANDATORY,Thailand bank/payment evidence,ML-W3-G1,COA-G08 + API Integration Gate,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks bank reconciliation/integration,Bank connector separated in Wave 8
3,Payment,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,AR+AP+Cash+Bank,Payment,DIRECT,MANDATORY,Thailand WHT/PromptPay/payment evidence,ML-W3-G1,COA-G08 + Tax Gate,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks settlement flows,Gateway connector separated in Wave 8
3,Reconciliation,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,AR+AP+Bank+Payment,Accounting,DIRECT,MANDATORY,Thailand accounting controls where applicable,ML-W3-G1,COA-G08,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks AR/AP settlement state,Final semantics require accounting evidence
3,Expense,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,HR/Party+Tax+Payment+Accounting,Party/Tax,DIRECT,MANDATORY,Thailand VAT/WHT/non-deductible rules,ML-W3-G1,COA-G08 + Tax Gate,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks employee/business expense freeze,HR linkage may be indirect
3,Asset,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,Accounting+Purchase+Tax,Product/Company,DIRECT,MANDATORY,Thailand depreciation/tax evidence,ML-W3-G1,COA-G08 + Asset Accounting Gate,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks capitalization/depreciation design,Source asset evidence exists but target design separate
3,Thailand Tax Accounting,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,Tax Master+Accounting+AR+AP+Payment,Tax,DIRECT,MANDATORY,PRIMARY THAILAND DEPENDENCY,ML-W3-G1,Thailand Tax Architecture Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks statutory transaction freeze,VAT/WHT/CIT evidence required
3,Budget Control,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,Accounting+Dimension,Dimension,DIRECT,MANDATORY,Thailand reporting context where applicable,ML-W3-G1,Accounting + Management Control Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks budget enforcement design,Distinct from FP&A planning
3,Financial Reporting,Financial Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P3,Accounting+COA+Financial Statement Mapping,Dimension,DIRECT,MANDATORY,Thailand financial statement/tax reporting evidence,ML-W3-G1,COA-G08 + Reporting Taxonomy Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks statutory/management statement freeze,Account Group must not directly own statutory mapping
4,CRM,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P4,Party+IAM,Party,Indirect,MANDATORY,Thailand privacy/contact context,ML-W4-G1,SaaS + Shared Domain Freeze,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Commercial pipeline learning,Quotation handoff to Sales
4,POS,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P4,Sales+Product+Pricing+Inventory+Payment,Product/Pricing,DIRECT,MANDATORY,Thailand VAT/receipt/payment evidence,ML-W4-G1,Sales+Inventory+COA+Tax gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Blocks retail flow freeze,Offline/sync NFR TBD
4,eCommerce,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P4,Sales+Product+Pricing+Payment,Product/Pricing,Indirect,MANDATORY,Thailand e-commerce tax/privacy context,ML-W4-G1,Sales + API + Security gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Online sales channel,Frontend architecture separate
4,Marketplace,Business Module,CANDIDATE - CATALOG RECONCILIATION REQUIRED,P4,Sales+Product+Inventory+Payment+Integration,Product/Dimension,DIRECT,MANDATORY,Thailand marketplace tax evidence as applicable,ML-W4-G1,Sales+Inventory+COA+Integration gates,TBD - ERPPLUS-133 reconciliation,UNASSIGNED,ChatGPT,DRAFT,Channel dimension preferred where accounting treatment same,Connectors separated Wave 8
