id,binding_model_id,create_uid,write_uid,type,path,binding_type,binding_view_types,name,help,create_date,write_date,view_id,res_id,limit,search_view_id,domain,context,res_model,target,view_mode,mobile_view_mode,usage,filter,cache
1,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Load demo data""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N,\N,80,\N,\N,{},ir.demo,new,form,kanban,\N,\N,t
2,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Create Menu""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N,\N,80,\N,\N,{'model_id': active_id},wizard.ir.model.menu.create,new,form,kanban,\N,\N,t
5,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Decimal Accuracy""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N,\N,80,\N,\N,{},decimal.precision,current,"list,form",kanban,\N,\N,t
6,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Actions""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,7,\N,80,8,\N,{},ir.actions.actions,current,"list,form",kanban,\N,\N,t
7,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Reports""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,10,\N,80,11,\N,{},ir.actions.report,current,"list,form",kanban,\N,\N,t
8,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Window Actions""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N,\N,80,15,\N,{},ir.actions.act_window,current,"list,form",kanban,\N,\N,t
9,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Client Actions""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,16,\N,80,\N,\N,{},ir.actions.client,current,"list,form",kanban,\N,\N,t
10,\N,1,1,ir.actions.act_window,server-actions,action,"list,form","{""en_US"": ""Server Actions""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,20,\N,80,21,\N,"{\n                'key':'server_action',\n                'search_default_toplevel_actions': 1,\n            }",ir.actions.server,current,"list,form",kanban,\N,\N,t
11,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Embedded Actions""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,23,\N,80,\N,\N,{},ir.embedded.actions,current,"list,form",kanban,\N,\N,t
12,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Configuration Wizards""}","{""en_US"": ""<p>The configuration wizards are used to help you configure a new instance of Odoo. They are launched during the installation of new modules, but you can choose to restart some wizards manually from this menu.</p>""}",2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,24,\N,80,\N,\N,{},ir.actions.todo,current,"list,form",kanban,\N,\N,t
14,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Assets""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,28,\N,80,\N,\N,{'search_default_active': 1},ir.asset,current,"list,form",kanban,\N,\N,t
15,\N,1,1,ir.actions.act_window,system-parameters,action,"list,form","{""en_US"": ""System Parameters""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N,\N,80,\N,\N,{},ir.config_parameter,current,"list,form",kanban,\N,\N,t
17,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Scheduled Actions Triggers""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N,\N,80,\N,\N,{},ir.cron.trigger,current,"list,form",kanban,\N,\N,t
18,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""User-defined Filters""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,\N,\N,80,\N,\N,{},ir.filters,current,"list,form",kanban,\N,\N,t
19,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Outgoing Mail Servers""}","{""en_US"": ""<div>\\n                    <b class=\\""o_view_nocontent_smiling_face\\"">\\n                        No Outgoing Servers yet\\n                    </b>\\n                </div>\\n            ""}",2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,45,\N,80,46,\N,{},ir.mail_server,current,"list,form",kanban,\N,\N,t
20,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Models""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,48,\N,80,\N,\N,{},ir.model,current,"list,form",kanban,\N,\N,t
21,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Fields""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,51,\N,80,\N,\N,{},ir.model.fields,current,"list,form",kanban,\N,\N,t
22,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Fields Selection""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,54,\N,80,\N,\N,{},ir.model.fields.selection,current,"list,form",kanban,\N,\N,t
23,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""External Identifiers""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,57,\N,80,\N,\N,{},ir.model.data,current,"list,form",kanban,\N,\N,t
24,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Model Constraints""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,60,\N,80,61,\N,{},ir.model.constraint,current,"list,form",kanban,\N,\N,t
25,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""ManyToMany Relations""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,63,\N,80,\N,\N,{},ir.model.relation,current,"list,form",kanban,\N,\N,t
26,\N,1,1,ir.actions.act_window,access-rights,action,"list,form","{""en_US"": ""Access Rights""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,65,\N,80,67,\N,{},ir.model.access,current,"list,form",kanban,\N,\N,t
28,\N,1,1,ir.actions.act_window,record-rules,action,"list,form","{""en_US"": ""Record Rules""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,72,\N,80,73,\N,{},ir.rule,current,"list,form",kanban,\N,\N,t
29,\N,1,1,ir.actions.act_window,\N,action,"list,form","{""en_US"": ""Sequences""}",\N,2026-03-18 04:58:50.421471,2026-03-18 04:58:50.421471,75,\N,80,\N,\N,{'active_test': False},ir.sequence,current,"list,form",kanban,\N,\N,t
